Short name,Name,Structure,Contains in,Description
"Molecules formed in living cells and involved in life processes
The cell's organic macromolecules build up the cell's structure, preserve the cell's genetic information, catalyze the cell's chemical reactions, and function as an energy reserve.
The molecules are in the form of polymers made up of several monomers. Their mutual order and placement give the cell its properties. The composition varies between different cells.",,,,
Carbohydrates [CAH],,,,"Energy source/reserve, cell wall, most common in food, 1% in the body"
(1),Monosaccharide,-,-,Solid+soluble+sweet
60,Glucose,C6H12O6,Plants/Blood_sugar,Reducing
,Alpha-D-glucose (Ring-formed),(HO-)1C-C(-OH)-(OH-)C-C(-OH)-C(-OH)-O1,,
,Beta-D-glucose (Ring-formed),(HO-)1C-C(-OH)-(OH-)C-C(-OH)-(HO-)C-O1,,
50,Fructose,C6H12O6,Plants,Non-reducing
61,Galactose,C6H12O6,Milk,Reducing
51,Ribose,C5H10O5,RNA,-
52,Deoxyribose,C5H10O4,DNA,-
(2),Disaccharide,-,-,Sweet
S/60+50,Sucrose,α12,Sugarcane&beets,-
L/60+61,Lactose,α14,Milk,Less_sweet
M/2*60,Maltose,α14,-,-
C/2*60,Cellubios,β14,-,-
,Starch/Stäkelse,-,,"Paper, cosmetics, plastic, glue, textile, medicine"
n*M,Starch/Stäkelse(Amulose),α14,Plants(food/potatoes/flour/groat),Straight
n*M,Starch/Stäkelse(Amylopectine),α16,Plants(food),Branched
n*60,Glucogen,-,"liver, muscles, kidneys (animal cells, higher mass)",Branched
n*C,Cellulose,-,"Cellulose Dietary fiber Plant structure Plant skeleton Wood, paper, cotton Wheat bran, whole grains, vegetables, and fruits",Crumbled chains due to hydrogen bond -> durability
n*6,Inulin,-,fiber+Jerusalem_artichokes,-
Lipids [LIP],,,,"Categorize as biological hydrophobic material, Energy storage (rich) Animals (fat cells)"
nCOOH,Fatty-acids,,,"Saturated (single bond, solid, animal fat), Unsaturated (double bond, liquid, plant, fish)
-> Cis -> crooked chain -> lowering melting point"
3+nCOO,Triglyceride,,,"Animal fat contain 16~20 carbon atoms
Unsaturated -> Monounsaturated -> Polyunsaturated (-> higher boiling point)"
...,Wax,,,Monovalent alcohol (long chain) + fatty acids
PO4+2*nCOOH,Phospholipid,,,"Cellmembrane -> Polar head (hydrophilic)
6~10 nm -> hydrophobic effect"
…,Steroid,,,Stabilization function
,Testosterone,,,
,Estrogen,,,
,Hormones,,,
,Signal molecules,,,
,"cholesterol, cortisol, vitamin D",,,
...,Caretenoid,"Color pigment (light-absorbing, orange-red)",Carrots,-> Retinole
Amino acids [AMA],,"Non-protolyzed: NH2-(H-)C(-R)-COOH
Zwitterion: [NH3+]-(H-)C(-R)-[COO-]
((Structure, total charge), ([NH3+]-(H-)C(-R)-(COOH), +1), ([NH3+]-(H-)C(-R)-[COO-], 0), (NH2-(H-)C(-R)-[COO-], -1) -> pH)",,"Amino acids are ampholytes with a weak acidic group (COOH) and a weak basic group (NH2).
The charge of amino acids depends on the pH of the solution. The isoelectric point (Ip) is defined at a total charge of 0."
G/Gly,Glycine,-H,,
A/Ala,Alanine,-CH3,,
V/Val,Valine,-CH2(-CH3)-CH3,,
C/Cys,Cystein,-CH2-SH,,
P/Pro,Proline,-CH2-CH2-CH2-1*NH2,,
L/Leu,Leucine,-CH2-CH(-CH3)-CH3,,
I/Ile,Isoleucin,-CH(-CH3)-CH2-CH3,,
M/Met,Metionin,-CH2-CH2-S-CH3,,
W/Trp,Tryptophane,-CH2-1CH2~2CH2(~3CH2~CH~OH~CH2~1)~CH2~CH2~CH2~CH2~3,,
F/Phe,Phenylealanine,-CH2-CH2~1CH2~CH2~CH2~CH2~CH2~CH2~1,,
S/Ser,Serine,-CH2-OH,,
