Group,Concept,Description
Evolution,Evolution,"Charles Darwin (1809~1889)
Alfred Russel
Livets mångfald
Naturlig urval
Imperfekt selekteras ur
Anpassning -> egenskap med tylig funktion
Över tid samlar på sig nya egenskaper"
,Neodarwinism,"DNA och genetik inblandad
Individer bär på olika genalleler
Genalleler sprider och förbättrar populationen"
,Evolutionära riktningar,"Strukturella
Beteendemässig
Fysiologisk"
,Drivkraft,"Mutation
Variation
Reproduktion
Tid"
,Population,"Variation
Överproduktion
Konkurrens
Mutation"
,Faktorer,"Biotisk faktor
Abiotisk faktor
Konvergent faktor"
,Selektionstryck,"Slump urval (Genetisk drift)
Biologisk/abiotisk faktor
Konvergent evolution
Riktat urval (Urval i samma riktning)
Stabiliserande urval (Bevarar anpassning)
Divergent urval
Förökingsselektion
Fitness (fortplantningförmåga)
Flera selektionstryck"
,Samevolution,"Predation
Resurskonkurrens
Mutualism"
Organismindelning,Artbildning (Geografisk isolering),"Artbarriärer (kan inte reproducera)
Kolonisering av nya områden
Reproduktiv isolering
Kontakten med förälderarten bryts"
,Artbildning,"Ekologisk specialisering
Genetisk urval
Hybridisering
Samevolution
Hybridisering"
,Kladogram,"Artificiell klassifikation
Taxonomi (Carl von Linné (Utseende))
Systematik
Fylogenetisk
Naturlig grupp (Subtree)
Ingrupper (Alla inom en Subtree)"
