Grundläggande,Unnamed: 1,"Även kallad endokrina systemet
Signalämne mellan celler, når långa avstånd
Startar och upprätthåller utveckling, tillväxt, mognad, fortplantning och åldrande
Upprätthåller homeostas i kroppen (Joner, vatten, näring, avfallsprodukter, pH, värme, hunger&mättnad)
(Sjukdomar kopplade till hormonsystemet beror ofta på över eller underproduktion av olika hormoner)",Unnamed: 3
,Struktur/delar,Ett antal endokrina körtlar (insöndring av hormon) samt även 3 regioner i hjärnan,
,Hormonfunktion,"Insöndras i vävnadsvätskan, diffunderar ut i blodet, celler med rätt receptor påverkas av hormonet (Hormonproducerande celler -> Blodkärl -> Målcell)
(Hormoner har flera effekter beroende på vävnadsreceptorer, kan ha flera aktiverande receptorer)
Fettlösliga: Långsam transport men långvarig (Transportprotein -> Tränger in genom membran -> Receptor på kärnmembranet (aktiverar/blockerar gener))
Vattenlösliga: Snabba men kortvariga (Utan transportprotein -> Kan inte tränga genom membran, receptor på cellmembran -> Snabb biokemisk reaktion (kaskadeffekt i cellen))",
,Hormonreglering,"1. Inre/Yttre stimuli: Förändringar i inre miljön som upptäcks av omedvetna sinnen -> hormonproduktion, både inre och yttre stimuli påverkar hormonfrisättning
2. Kroppens medfödda rytmer: Cyklisk frisättning av hormoner över bestämda perioder -> (Koncentration enligt rytm) e.g. dygnsrytmen
3. Hypotalamus och hypofysen: Styrandet av återkoppling
  - Positiv återkoppling -(+)->: Frisättning stimulerar ytterligare hormoner
  - Negativ återkoppling -(-)->: Frisättning hämmar andra hormoner -> Reglering av hormonkoncentrationer

(1: Hypotalamus) -(+)-> ((2: Hypofys) -(-)-> 1) -(+)-> (3: Endokrin körtel) -(+)-> ((4: Hormon) -(-)-> 1, 2) -(+)-> (5: Målvävnad)",
Hormonsystemets körtlar,Hypotalamus,"Länk mellan nerv- och hormonsystemet. Får information från kroppens inre sinnesceller, 
Insöndrar neurohormoner (=hormoner som bildas av nervceller)
Neurohormoner styr produktion av hormoner från hypofysens framlob
Hypotalamus tillverkar även andra hormon som lagras i hypofysens baklob",-> Neurohormon
,Hypofys,"Hormonproducerande körtel. Står över andra endokrina körtlar
Körtelcellerna stimuleras att producera egna hormon
Hypofysens hormoner insöndras i blodbanan
Hormonerna påverkar sedan olika körtlar ute i kroppen (t.ex. binjurar, sköldkörteln, testiklar/äggstockar)
(baklob som lagringsplats för fåtals neurohormon (vassopressin, oxytocin), ingen endokrin körtel)",
,Epifys/Epitalamus/Tallkottskörteln,Styr dyngsrytmen,Melatonin
,Sköldkörteln,Styr ämnesomsättningen,"T3, T4"
,Binjurar,"Reglerar blodtryck, saltbalans, omsättning av fett, socker och proteiner","Adrenalin, kortisol"
,Bukspottskörtel,Påverkar blodsockernivåer,"Insulin, glukagon"
