Formula,Name,Melting,Boiling,Color,Odour,Structure,Reactivity,Toxicity,Application,K_a,pK_a,K_(a2),pK_(a2),K_(a3),pK_(a3)
Strong acids,,,,,,,,,,,,,,,
HCl,Saltsyra,-,-,-,"Stinkande, rykande",,Flammable,-,"Magsäcken, Plast och färgindustrin, Metallrengöring",,,,,,
HClO2,Klorsyrlighet,,,,,,,,,0.01,2.0,,,,
HClO,Hypoklorsyra,,,,,,,,,3e-08,7.53,,,,
H2SO4 (stark),Svavelsyra,-,-,-,Odorless,"Viscous, heavy",,-,"Bilbatterier, konstgödsel, sprängämnen, läkemedel, stäkelse förkolnar",0.012,1.92,,,,
H2SO3 <-> SO4 (2-),Svavelsyrlighet,,,,,,,,,0.015,1.81,1.2e-07,6.91,,
HNO2,Salpetersyrlighet,,,,,,,,,0.00043,3.37,,,,
HNO3,,-,-,-,"Stinkande, rykande",ljuskänslig,Flammable,Lung inflammation,"gulfärgar proteiner, Angriper alla metaller utom Au och Pt -> Konstgödsel, sprängämnen och färgämnen",,,,,,
HIO3,Jodsyra,,,,,,,,,0.17,0.77,,,,
Weak acids,,,,,,,,,,,,,,,
H2CO3 <-> HCO3- <-> CO3 (2-),Kolsyra,-,-,-,-,-,-,-,Läsk,4.3e-07,6.37,5.6e-11,10.25,,
H3PO3,Fosforsyrlighet,,,,,,,,,0.01,2.0,2.6e-07,6.59,,
H3PO4,Fosforsyra,,,,,,,,,0.0076,2.12,6.2e-08,7.21,2.1e-13,12.68
H2S,Svavelväte,,,,,,,,,1.3e-07,6.89,7.1e-15,14.15,,
HF,Vätefluorid,,,,,,,,,0.00035,3.45,,,,
HBrO,Hypobromitsyra,,,,,,,,,2e-09,8.69,,,,
B(OH)3,Borsyra,,,,,,,,,7.2e-10,9.14,,,,
HCN,Vätecyanid,,,,,,,,,4.9e-10,9.31,,,,
HIO,Hypojoditsyra,,,,,,,,,2.3e-11,10.64,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Organic acids!!!,,,,,,,,,,,,,,,
CCl3COOH,Trikloreättiksyra,,,,,,,,,0.3,0.52,,,,
C6H5SO3H,Bensoesulfonsyra,,,,,,,,,0.2,0.7,,,,
CH2ClCOOH,Klorättiksyra,,,,,,,,,0.0014,2.85,,,,
CH3CH(OH)COOH,Mjölksyra,,,,,,,,,0.00084,3.08,,,,
HCOOH,Myrsyra,,,,,,,,,0.00018,3.75,,,,
C6H5COOH,Bensoesyra,,,,,,,,,6.5e-05,4.19,,,,
CH3COOH,Ättiksyra,,,,,,,,,1.8e-05,4.75,,,,
C6H5OH,Fenol,,,,,,,,,1.3e-10,9.89,,,,
(COOH)2,Oxalsyra,,,,,,,,,0.059,1.23,6.5e-05,4.19,,
C2H4O2(COOH)2,Vinsyra,,,,,,,,,0.0006,3.22,1.5e-05,4.82,,
