Formula,Name,Melting,"ΔH_fus, kJ/mol",Boiling,"ΔH_vap, kJ/mol",Critical temperature,Critical pressure (atm),Color,Odour,Structure,Reactivity,Toxicity,Application,K_b,pK_b
Strong bases,,,,,,,,,,,,,,,
NaOH,,-,,-,,,,-,WHI,-,-,-,"Pappersmassa, tvål, konstfibrer, rengöring, propplösare",,
KOH,,-,,-,,,,-,WHI,-,-,-,Såpa,,
Ca(OH)2,,-,,-,,,,-,-,-,-,-,"Kalkar sjöar, Murbruk",,
Weak bases,,,,,,,,,,,,,,,
NH3 <-> NH4+,Ammoniak,-77.6,5.65,-33.30000000000001,23.4,132.0,111.0,,,,,,"Rengöring, Konstgödsel",180000.0,4.75
NaHCO3,,-,,-,,,,-,-,-,-,-,Bakpulver,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CO(NH2)2,Urea,,,,,,,,,,,,,130000000000000.0,13.9
C6H5NH2,Anilin,,,,,,,,,,,,,43000000000.0,9.37
C5H5N,Pyridin,,,,,,,,,,,,,1800000000.0,8.75
NH2OH,Hydroxylamin,,,,,,,,,,,,,110000000.0,7.97
C10H14N2,Nikotin,,,,,,,,,,,,,1000000.0,5.98
C17H19O3N,Morfin,,,,,,,,,,,,,1600000.0,5.79
,,,,,,,,,,,,,,,
NH2NH2,Hydrazin,,,,,,,,,,,,,1700000.0,5.77
CH3NH2,Metylamin,,,,,,,,,,,,,36000.0,3.44
(CH3)2NH,Dimetylamin,,,,,,,,,,,,,54000.0,3.27
(CH3)3N,Trimetylamin,,,,,,,,,,,,,650000.0,4.19
C2H5NH2,Etylamin,,,,,,,,,,,,,65000.0,3.19
(C2H5)3N,Trietylamin,,,,,,,,,,,,,1000.0,2.99
