Binding,Bindningsentalpi (kJ/mol),Anmärkning
H–H,436.4,
H–N,393.0,
H–O,460.0,
H–S,368.0,
H–P,326.0,
H–F,568.2,
H–Cl,431.9,
H–Br,366.1,
H–I,298.3,
C–H,414.0,
C–C,347.0,
C=C,620.0,
C≡C,812.0,
C–N,276.0,
C=N,615.0,
C≡N,891.0,
C–O,351.0,
C=O*,745.0,C=O bindningsentalpi i CO2 är 799 kJ/mol
C≡O,1070.0,
C–P,263.0,
C–S,255.0,
C=S,477.0,
C–F,453.0,
C–Cl,339.0,
C–Br,276.0,
C–I,216.0,
N–N,193.0,
N=N,418.0,
N≡N,941.4,
N–O,176.0,
N=O,607.0,
N–F,272.0,
N–Cl,200.0,
N–Br,243.0,
N–I,159.0,
O–O,142.0,
O=O,498.7,
O–P,502.0,
O–S,469.0,
O–F,190.0,
O–Cl,203.0,
O–Br,234.0,
O–I,234.0,
P–P,197.0,
P=P,489.0,
S–S,268.0,
S=S,352.0,
F–F,156.9,
Cl–Cl,242.7,
Cl–F,193.0,
Br–Br,192.5,
I–I,151.0,
