Compound,Melting,Boiling,Color,Odour,Structure,Reactivity,Toxicity,Application
Electrostatic forces,"Electrostatic Forces: Attraction or repulsion between charged particles.
Shielding: Inner electrons reduce the attraction experienced by valence electrons.
Effective Nuclear Charge: The net positive charge felt by valence electrons.
Electronegativity: An atom's ability to attract electrons in a bond (influenced by nuclear charge, distance, and shielding).
Ionization Energy: Energy required to remove an electron from an atom or ion.
Phases:
Phase I (Long distance, No effect)
Phase II (Strong attraction, Attraction increases as distance decreases)
Phase III (Lowest energy state, Minimum energy state – optimal bonding)
Phase IV (Fusion, repulsion, Fusion – repulsive forces dominate) ",,,,,,,
Intramolecular bonds,"Ionic Bond:
ΔElectronegativity >= 2.
Directed attraction between cations and anions.
Properties: Brittle, forms crystalline structures.

Metallic Bond:
Delocalized, shielded electrons form an ""electron sea"" Properties: Electrical conductivity, thermal conductivity, malleability, high density.
=> Elektrisk laddning
=> Värmeledning (Fria elektroner)
=> Formbara (Oriktad bindning, atomlagren kan flyttas)
=> Hög densitet

Kovalent bindning:
Δ elektronegativitet < 2 (Icke-metaller)
Elektronerna delas mellan atomer
Dålig strömledning

Electrons are shared between two atoms.
Sp2 Hybridization: Involves S, Px, Py orbitals.
Sp3 Hybridization: Involves S, Px, Py, Pz orbitals.

Molecule polarity depends on geometry:
Examples:
XY2 (CO2): Polar bonds, nonpolar molecule.
XY3 (NH3): Polar molecule.
XY4 (CH4): Nonpolar molecule.

Polära kovalenta bindningar:
Δ elektronegativitet > 0.4
X2 (I2, O2, N2) -> Opolär bindning, opolär molekyl
XY (XF, HI, HCl) -> Polär bindning, polär molekyl
XY2 (CO2, CS2) -> Polär bindning, opolär molekyl
XY2 (SO2, H2O, H2S) -> Polär bindning, polär molekyl
XY3 (BF3) -> Polär bindning, opolär molekyl
XY3 (NH3, PCl3) -> Polär bindning, polär molekyl
XY4 (CH4, CCl4) -> Polär bindning, opolär molekyl
XY4 (CH3Cl, CH2Cl2) -> Polär bindning, polär molekyl

Delokaliserade elektroner:
Delocalized Electrons:
Electrons move freely between atoms.
Results in resonance and stability.",,,,,,,
Intermolecular bonds,"Vätebindning:
H -> N, O, F
Mer elektronegativa atomen drar väteatomens elektron
H2O H(δ+), O(δ-) (H-O), N(δ+), H(δ-) (H-N), DNA, Protein

Dipol-dipolbindning:
Nätverk mellan dipoler (Deltaladdningar)
Between molecules with permanent dipoles (e.g., HCl).
HCl H(δ+), Cl(δ-)

Jon-dipol bindning (Hydratisering):
Salter löses i vatten (O -> (+), H -> (-))
Hydrofila, hydrofoba och amfifila molekyler
Om jonbindning är svagare än vattenbindning löses saltet upp
Ion-Dipole Bonding (Hydration):
Salts dissolve in water.
If the ionic bond is weaker than water's hydrogen bonding, the salt dissolves.

Dispersionskraft/London-dispersionskraft:
Tillfälliga dipol av slump av snedfördelade elektroner
Större yta -> Starkare bindning
Geckoödla hårstrå på utskott
CO2, N2, O2, Ädelgaser
Dispersion Forces (London Forces):
Temporary dipoles due to electron movement.
Examples: CO2, noble gases.",,,,,,,
Metal oxides/Metalloxider,,,,,,,,
Fe2+,,,RE1,,,,,
Li+,,,\RE1,,,,,
Na+,,,\YEL,,,,,
K+,,,\PUR,,,,,
Ba+,,,\GRE,,,,,
Ca(2+),,,\ORA,,,,,
