Ämne,Melting,Boiling,Critical temperature,Critical pressure (atm),Color (burn color),Odour,Structure,Reactivity,Toxicity,Application,Bildningsentalpi ΔH(0)_f,Gibbs fria energi ΔG^(0)_f,"Värmekapacitet C_(P, m)",Entropi* S(0) 
,,,,,,,,,,,kJ mol^(-1),kJ mol^(-1),J K^(-1) mol^(-1),J K^(-1) mol^(-1)
"Ag, Silver",,,,,,,,,,,,,,
Ag(s),,,,,,,,,,,0,0,25.35,42.55
Ag+(aq),,,,,,,,,,,105.58,77.11,-,72.68
Ag2O(s),,,,,,,,,,,-31.05,-11.20,65.86,121.3
AgBr(s),,,,,,,,,,,-100.37,-69.90,52.38,107.1
AgBr(aq),,,,,,,,,,,-15.98,-26.86,-,155.2
AgCl(s),,,,,,,,,,,-127.07,-109.79,50.79,96.2
AgCl(aq),,,,,,,,,,,-61.58,-54.12,-,129.3
AgI(s),,,,,,,,,,,-61.84,-66.19,56.82,115.5
AgI(aq),,,,,,,,,,,50.38,25.52,-,184.1
AgNO3(s),,,,,,,,,,,-124.19,-33.41,93.05,140.92
"Al, Aluminium",,,,,,,,,,,,,,
Al(s),,,,,,,,,,,0,0,24.35,28.33
Al 3+(aq),,,,,,,,,,,-524.7,-481.2,-,-321.7
Al2O3(s) (Sapphire/safir),,,,,,,,,,,-1675.7,-1582.3,79.04,50.92
Al(OH)3(s),,,,,,,,,,,-1276,-,-,-
AlCl3(s),,,,,,,,,,,-704.2,-628.8,91.84,110.67
AlN,,,,,,,,,,,,,,
Al2S3,,,,,,,,,,,,,,
As Arsenik,,,,,,,,,,,,,,
As(s). grå,,,,,,,,,,,0,0,24.64,35.1
As2S3(s),,,,,,,,,,,-169.7,-168.6,116.3,163.6
AsO4 3-(aq),,,,,,,,,,,-888.14,-648.41,-,-162.8
"B, Bor",,,,,,,,,,,,,,
B(s),,,,,,,,,,,0,0,11.09,5.86
B2O3(s),,,,,,,,,,,-1272.8,-1193.7,62.93,53.97
