Ämne,Molmassa g mol^-1,Förbränningsentalpi ΔHc(0),Bildningsentalpi ΔHf(0),Gibbs fria energi ΔGf(0),"Värmekapacitet, C_(P,m)","Entropi, S(0)"
Kolväten,,kJ mol^-1,kJ mol^-1,kJ mol^-1,J K^-1 mol^-1,J K^-1 mol^-1
"CH4(g), metan",16.04,-890,-74.81,-50.72,35.31,186.26
"C2H2(g), etyn",26.04,-1300,226.73,209.20,43.93,200.94
"C2H4(g), eten",28.05,-1411,52.26,68.15,43.56,219.56
"C2H6(g), etan",30.07,-1560,-84.68,-32.82,52.63,229.60
"C3H6(g), propen",42.08,-2058,20.42,62.78,63.89,266.6
"C3H6(g), cyklopropan",42.08,-2091,53.30,104.45,55.94,237.4
"C3H8(g), propan",44.09,-2220,-103.85,-23.49,73.5,270.2
"C4H10(g), butan",58.13,-2878,-126.15,-17.03,97.45,310.1
"C5H12(g), pentan",72.15,-3537,-146.44,-8.20,120.2,349
"C6H6(l), bensen",78.12,-3268,49.0,124.3,136.1,173.3
C6H6(g),78.12,-3302,-,-,81.67,-
"C7H8(l), toluen",92.13,-3910,12.0,113.8,-,221.0
C7H8(g),92.13,-3951,-,-,103.6,-
"C6H12(l), cyklohexan",84.16,-3920,-156.4,26.7,156.5,204.4
C6H12(g),84.16,-3953,-,-,-,-
"C8H18(l), oktan",114.23,-5471,-249.9,6.4,-,358
Alkoholer och fenoler,,,,,,
"CH3OH(l), metanol",32.04,-726,-238.86,-166.27,81.6,126.8
CH3OH(g),32.04,-764,-200.66,-161.96,43.89,239.81
"C2H5OH(l), etanol",46.07,-1368,-277.69,-174.78,111.46,160.7
C2H5OH(g),46.07,-1409,-235.10,-168.49,65.44,282.70
"C6H5OH(s), fenol",94.11,-3054,-164.6,-50.42,-,144.0
Karboxylsyror,,,,,,
"HCOOH(l), myrsyra",46.03,-255,-424.72,-361.35,99.04,128.95
"CH3COOH(l), ättiksyra",60.05,-875,-484.5,-389.9,124.3,159.8
CH3COOH(aq),60.05,-,-485.76,-396.46,-,-
"(COOH)2(s), oxalsyra",90.04,-254,-827.2,-697.9,117,86.6
"C6H5COOH(s), bensoesyra",122.13,-3227,-385.1,-245.3,146.8,167.6
Aldehyder och ketoner,,,,,,
HCHO(g) metanal (formaldehyd),30.03,-571,-108.57,-102.53,35.40,218.77
CH3CHO(l) etanal (acetaldehyd),44.05,-1166,-192.30,-128.12,-,160.2
CH3COCH3(l) propanon (aceton),58.08,-1790,-248.1,-155.4,124.7,200
Socker,,,,,,
C6H12O6(s) glukos,180.16,-2808,-1268,-910,-,212
C6H12O6(aq),180.16,-,-,-917,-,-
C6H12O6(s) fruktos,180.16,-2810,-1266,-,-,-
C12H22O11(s) sackaros,342.3,-5645,-2222,-1545,-,360
Kväveinnehållande ämnen,,,,,,
CO(NH2)2(s) urea,60.06,-632,-333.51,-197.33,93.14,104.60
C6H5NH2(l) anilin,93.13,-3393,31.6,149.1,-,191.3
NH2CH2COOH(s) glycin,75.07,-969,-532.9,-373.4,99.2,103.51
C3NH2(g) metylamin,31.06,-1085,-22.97,32.16,53.1,243.41
