Compound,Name,Melting (°C),"ΔH_fus, kJ/mol",Boiling (°C),"ΔH_vap, kJ/mol",Critical temperature,Critical pressure (atm),Specific heat capacity,Color,Odour,Structure,Reactivity,Toxicity,Application
General,,"Alla organiska föreningar innehåller kol. Eftersom kol har 4 valenselektroner kan den skapa 4 bindningar till andra atomer. På så sätt kan det skapas många variationer där de är antingen raka, grenade eller cykliska kolkedjor. Organiska ämnen förekommer främst hos levande organismer/naturligt förekommande, men också konstgjorda inom industrin. Kolväten utvninns ur råolja (fossila bränslen) som bildas av avlagring av uråldringa organismer (separeras i oljeraffinaderi)",,,,,,,,,,,,
,,"Nomenclature/Nomenklatur (IUPAC-number)

Functional groups/Funktionella grupper: Atomgrupper som ger den organiska föreningen speciella egenskaper kallas för en funktionell grupp. En ämnesklass är en ämnesgrupp med samma funktionella grupp.
Amount/Antal av funktionella grupper: Mono/di/tri/polyvalent groups, en/två/tre/flervärda grupper
Placering av funktionella grupper: Primary/secondary/Teriary/quaternary, primär/sekundär/tertiär/kvartär

Isomeres/Isomerer:
Chain isomerism/Kedjeisomerer: Butan vs 2-metylpropan, Molekyler har olika kolkedjor
Position isomerism/Ställningsisomeri: 1-propanol vs 2-propanol, Den funktionella gruppen har olika position i kedjan
Functional isomerism/Funktionsisomeri: Etanol vs dimetyleter, Molekyler har olika funktionella grupper
Cis-trans isomerism(Geometrical isomerism)/Cis-transisomeri(Zusammen, Cis-2-buten (Z)), (Entegen, Trans-2-buten): Samma atomer är bundna till varandra men befinner sig i olika lägen kring en dubbelbindning (Kan reagera/ha andra egenskaper)
Enantiomerism(Optical isomerism)/Spegelbildsisomeri(Optiska isomerer) (L-mjölksyra vs D mjölksyra), Kiralt kol (assymetrisk centra), GRupperna har olika riktning kring assymetrisk centrum i molekylen, har olika egenskaper -> binder till olika receptorer, blandning skapar en racemisk blandning",,,,,,,,,,,,
Alkanes/Alkaner (-),,"(Mättad, endast enkelbindning) Endast van-der-Waalsbindning -> (Fettlösliga, relativt låga kokpunkter)",,,,,,,,,,,,
1,,-182.3,0.94,-161.3,8.2,-83.0,46.0,,TRA,Odorless,Fumigant,-,.,Bränsle (Bil/fordon)
2,,-183,,-89,,,,,TRA,Odorless,-,-,-,Plasttillverkning
3,,-188,,-44,,,,,-,-,-,-,-,"Gasol, plast"
4,,-138,,0,,,,,-,-,-,-,-,"Gasol, plast"
5,,-129,,36,,,,,-,-,-,-,-,
6,,-95,,69,,,,,-,-,-,-,-,
7,,-91,,98,,,,,-,-,-,-,-,
