_,MAS(u),ELE,MLt,BLT,ELA,1IZ(kJ/mol),RAD(Cal),RAD(Emp),HAR(Brinell),DEN(STP),DEN(Liquid),TCO,ECO,SPH,VAH,FUH,COF,Description
1H,1.008,2.2,-259.1,-252.9,72.8,1312.0,53,25,-,0.0899,-,0.1805,-,14300,0.452,0.558,1s1,
2He,4.002602,-,-,-269.0,0,2372.3,31,-,-,0.1785,-,0.1513,-,5193.1,0.083,0.02,1s2,
3Li,6.94,0.98,180.54,1342.0,59.6,520.2,167,145,-,535,512,85,11,3570,147.0,3.0,1s2.2s1,
4Be,9.012183,1.57,1287,2470.0,0,899.5,112,105,600,1848,1690,190,25,1820,297.0,7.95,1s2.2s2,
5B,10.81,2.04,2075,4000.0,26.7,800.6,87,85,-,2460,2080,27,1e-10,1030,507.0,50.0,2s2.2p1,
6C,12.011,2.55,3642,3642.0,153.9,1086.5,67,70,-,2260,-,140,0.1,710,715.0,105.0,2s2.2p2,"Bränsle, levande byggsten
Armoft kol (Luftrening), Grafit (Blyertspennor), Diamant (Hårdaste material), Fulleren (C-60), Nanorör"
7N,14.007,3.04,-210.1,-195.8,7,1402.3,56,65,-,1.251,-,0.02583,-,1040,2.79,0.36,2s2.2p3,"Kylmedel, Konstgödsel, Läkemedel"
8O,15.999,3.44,-218,-183.0,141,1313.9,48,60,-,1.429,-,0.02658,-,919,3.41,0.222,2s2.2p4,"Andning, Eld, Medikal syrgas
Ståltillverkning, Pappersblekning, Svetsning
O3: Giftig(lungor skadas) Absorberar skadlig UV"
9F,18.9984,3.98,-220,-188.1,328,1681.0,42,50,-,1.696,-,0.0277,-,824,3.27,0.26,2s2.2p5,
10Ne,20.1797,-,-248.6,-246.1,0,2080.7,38,-,-,0.9,-,0.0491,-,1030,1.75,0.34,2s2.2p6,"Reklamskyltar, Bildskärmar"
11Na,22.98977,0.93,97.72,882.9,52.8,495.8,190,180,0.69,968,927,140,21,1230,97.7,2.6,2p6.3s1,
12Mg,24.305,1.31,650,1090.0,0,737.7,145,150,260,1738,1584,160,23,1020,128.0,8.7,2p6.3s2,
13Al,26.98154,1.61,660.32,2519.0,42.5,577.5,118,125,245,2700,2375,235,38,904,293.0,10.7,3s2.3p1,
14Si,28.085,1.9,1414,2900.0,133.6,786.5,111,110,-,2330,2570,150,0.001,710,359.0,50.2,3s2.3p2,
15P,30.97376,2.19,44.15,280.5,72,1011.8,98,100,-,1823,-,0.236,10,769.7,12.4,0.64,3s2.3p3,
16S,32.06,2.58,115.21,444.72,200,999.6,88,100,-,1960,1819,0.205,1e-21,705,9.8,1.73,3s2.3p4,Vapen/Krut
17Cl,35.45,3.16,-101.5,-34.04,349,1251.2,79,100,-,3.214,-,0.0089,1e-08,478.2,10.2,3.2,3s2.3p5,Giftig Stridsgas/Vattenrening
18Ar,39.948,-,-189,-186.0,0,1520.6,71,71,-,1.784,-,0.01772,-,520.33,6.5,1.18,3s2.3p6,
19K,39.0983,0.82,63.38,758.9,48.4,418.8,243,220,0.363,856,828,100,14,757,76.9,2.33,3p6.4s1,
20Ca,40.078,1,841.9,1484.0,2.37,589.8,194,180,167,1550,1378,200,29,631,155.0,8.54,3p6.4s2,
21Sc,44.95591,1.36,1541,2830.0,18.1,633.1,184,160,750,2985,2800,16,1.8,567,318.0,16.0,4s2.3d1,
22Ti,47.867,1.54,1668,3287.0,7.6,658.8,176,140,716,4507,4110,22,2.5,520,425.0,18.7,4s2.3d2,
23V,50.9415,1.63,1910,3407.0,50.6,650.9,171,135,628,6110,5500,31,5,489,453.0,22.8,4s2.3d3,
24Cr,51.9961,1.66,1907,2671.0,64.3,652.9,166,140,1120,7190,6300,94,7.9,448,339.0,20.5,4s1.3d5,
25Mn,54.93804,1.55,1246,2061.0,0,717.3,161,140,196,7470,5950,7.8,0.62,479,220.0,13.2,4s2.3d5,
26Fe,55.845,1.83,1538,2861.0,15.7,762.5,156,140,490,7874,6980,80,10,449,347.0,13.8,4s2.3d6,
27Co,58.93319,1.88,1495,2900.0,63.7,760.4,152,135,700,8900,7750,100,17,421,375.0,16.2,4s2.3d7,
28Ni,58.6934,1.91,1455,2913.0,112,737.1,149,135,700,8908,7810,91,14,445,378.0,17.2,4s2.3d8,
29Co,63.546,1.9,1084.62,2562.0,118.4,745.5,145,135,874,8960,8020,400,59,384.4,300.0,13.1,4s1.3d10,
30Zn,65.38,1.65,419.53,906.9,0,906.4,142,135,412,7140,6570,120,17,388,119.0,7.35,4s2.3d10,
31Ga,69.723,1.81,29.76,2204.0,28.9,578.8,136,130,60,5904,6095,29,7.1,371,256.0,5.59,3d10.4p1,
32Ge,72.63,2.01,938.25,2820.0,119,762.0,125,125,-,5323,5600,60,0.002,321.4,334.0,31.8,3d10.4p2,
33As,74.9216,2.18,816.9,614.0,78,947.0,114,115,1440,5727,5220,50,3.3,328,32.4,27.7,3d10.4p3,
34Se,78.971,2.55,221,685.0,195,941.0,103,115,736,4819,3990,0.52,-,321.2,26.0,5.4,3d10-4p4,
35Br,79.904,2.96,-7.35,58.9,324.6,1139.9,94,115,-,3120,3120,0.12,1e-16,947.3,14.8,5.8,3d10.4p5,
36Kr,83.798,3,-157.36,-153.22,0,1350.8,88,-,-,3.75,-,0.00943,-,248.05,9.02,1.64,3d10.4p6,
37Ru,85.4678,0.82,39.31,688.0,46.9,403.0,265,235,0.216,1532,1460,58,8.3,364,72.0,2.19,4p6.5s1,
38Sr,87.62,0.95,776.9,1382.0,5.03,549.5,219,200,-,2630,2375,35,7.7,300,137.0,8.0,4p6.5s2,
39Y,88.90584,1.22,1526,3345.0,29.6,600.0,212,180,589,4472,4240,17,1.8,298,380.0,11.4,5s2.4d1,
40Zr,91.224,1.33,1855,4409.0,41.1,640.1,206,155,650,6511,5800,23,2.4,278,580.0,21.0,5s2.4d2,
41Nb,92.90637,1.6,2477,4744.0,86.1,652.1,198,145,736,8570,-,54,6.7,265,690.0,26.8,5s1.4d4,
42Mo,95.95,2.16,2623,4639.0,71.9,684.3,190,145,1500,10280,9330,139,20,251,600.0,36.0,5s1.4d5,
43Tc,98.0,1.9,2157,4265.0,53,702.0,183,135,-,11500,-,51,5,63,550.0,23.0,5s2.4d5,
44Ru,101.07,2.2,2334,4150.0,101.3,710.2,178,130,2160,12370,10650,120,14,238,580.0,25.7,5s1.4d7,
45Rh,102.9055,2.28,1964,3695.0,109.7,719.7,173,135,1100,12450,10700,150,23,240,495.0,21.7,5s1.4d8,
46Pd,106.42,2.2,1554.9,2963.0,53.7,804.4,169,140,37.3,12023,10380,72,10,240,380.0,16.7,4p6.4d10,
47Ag,107.8682,1.93,961.78,2162.0,125.6,731.0,165,160,24.5,10490,9320,430,62,235,255.0,11.3,5s1.4d10,
48Cd,112.414,1.69,321.07,766.9,0,867.8,161,155,203,8650,7996,97,14,230,100.0,6.3,5s2.4d10,
49In,114.818,1.78,156.6,2072.0,28.9,558.3,156,155,8.83,7310,7020,82,12,233,230.0,3.26,4d10.5p1,
50Sn,118.71,1.96,231.93,2602.0,107.3,708.6,145,145,51,7310,6990,67,9.1,217,290.0,7.0,4d10.5p2,
51Sb,121.76,2.05,630.63,1587.0,103.2,834.0,133,145,294,6697,6530,24,2.5,207,68.0,19.7,4d10.5p3,
52Te,127.6,2.1,449.51,987.9,190.2,869.3,123,140,180,6240,5700,3,0.01,201,48.0,17.5,4d10.5p4,
53I,126.9045,2.66,113.7,184.3,295.2,1008.4,115,140,-,4940,-,0.449,1e-13,429,20.9,7.76,4d10.5p5,
54Xe,131.293,2.6,-111.8,-108.0,0,1170.4,108,-,-,5.9,-,0.00565,-,158.32,12.64,2.3,4d10.5p6,"Bilstrålkastare, Bildskärmar"
55Cs,132.9055,0.79,28.44,671.0,45.5,375.7,298,260,0.14,1879,1843,36,5,242,65.0,2.09,5p6.6s1,
56Ba,137.327,0.89,730,1870.0,13.95,502.9,253,215,-,3510,3338,18,2.9,205,140.0,8.0,5p6.6s2,
57La,138.9055,1.1,919.9,3464.0,48,538.1,-,195,363,6146,5940,13,1.6,195,400.0,6.2,6s2.5d1,
58Ce,140.116,1.12,797.9,3360.0,50,534.4,-,185,412,6689,6550,11,1.4,192,350.0,5.5,4f1.5d1,
59Pr,140.9077,1.13,930.9,3290.0,50,527.0,247,185,481,6640,6500,13,1.4,193,330.0,6.9,6s2.4f3,
60Nd,144.242,1.14,1021,3100.0,50,533.1,206,185,265,7010,6890,17,1.6,190,285.0,7.1,6s2.4f4,
61Pm,145.0,-,1100,3000.0,50,540.0,205,185,-,7264,-,15,1.3,-,290.0,7.7,6s2.4f5,
62Sm,150.36,1.17,1072,1803.0,50,544.5,238,185,441,7353,7160,13,1.1,196,175.0,8.6,6s2.4f6,
