"-s: Slightly soluble
-i: Insoluble
-r: React with water",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,H+,NH4+,Li+,Rb+,K+,Ba (2+),Sr (2+),Ca (2+),Na+,Mg (2+),Be (2+),Al (3+),Mn (2+),Zn (2+),Cr (2+),Cr (3+),Fe (2+),Fe (3+),Cd (2+),Co (2+),Co (3+),Ni (2+),Sn (2+),Pb (2+),Cu (2+),Ag+,Hg (2+)
OH-,18,35,24,102,56,171,122s,74s,40,58i,43s,78i,89i,99i,86i,103i,90i,107i,146i,93i,110i,93i,153i,241i,98i,125r,235r
F-,20,37,26s,104,58,175s,126i,78i,42,62i,47,84s,93s,103,90s,109i,94s,113s,150,97,116r,97,157,245i,102,127,239r
Cl-,36.5,53.5,42.5,121,74.5,208,159,111,58.5,95,80,113,126,136,123,158,127,162,183,130,165,130,190,278s,134,143i,272
Br-,81,98,87,165,119,297,247,200,103,184,169,267,215,225,212r,292,216,296,272,219,299,219,279,367i,223,118i,360s
I-,128,145,134,212,116,391,341,294,150,278,263r,408,309,319,306,433i,310,?,366,313,440,313,373s,461i,317,235i,454i
S (2-),34s,68,46,203,110,169s,120r,72s,78,56r,41,150r,87i,97i,84i,220r,88i,208r,114i,91i,214i,91i,151i,239i,96i,248i,233i
SO4 (2-),98,132,110,267,174,233i,184i,136s,142,120,105,342,151,161,148,392,152,400,208,155,406r,155,215,303i,160,312s,297r
HSO4-,98,115,104,183,136,?,282r,?,120,?,?,?,249,260,?,?,?,?,?,?,?,?,?,401,?,205,`?
So3 (2-),82,116,94,251,158,217i,168i,120i,126,104s,89,?,135i,145i,?,344r,136i,?,192i,139i,?,139i,199i,287i,144i,296i,281i
ClO4-,100,117,106,185,139,336,287,239,122,223,208,325,254,264,251,350,255,354,311,258,357,258,?,406,262,207,399
ClO3-,84,101,90,169,123,304,255,207,106,191,176,277,222,232,?,302,?,?,279,226,?,226,?,374,230,191,367
NO3-,63,80,69,147,101,261,212,164,85,148,133,213,179,189,?,238,180,242,236,183,245r,183,243r,331,188,170,325r
NO2-,47,64,53,131,85,229,180,132,69,116,101i,?,147r,157r,?,?,?,?,?,151s,?,151,?,299,156r,154s,293r
PO4 (3-),98,149,116i,351,212,602i,453i,310i,164,263i,217i,122i,355i,386i,246i,147i,357i,151i,527i,367i,?,366i,546i,812i,381i,419i,792i
HPO4 (2-),98,132,?,267,174,233i,184i,136i,142,120s,105i,342i,151i,161,?,392,152i,?,?,?,?,?,251i,303i,160i,312,297
H2PO4-,98,115,104,182,136,331,282,234,120,218,203,318,249,259,?,?,250,?,306,?,?,?,313r,401r,?,205,395
CH3COO-,60,77,66,145,98,255,206,158,82,142,127i,204r,173,183,170s,229,174,233r,231,177,236,177,237r,325,182,167,319
Cr2O7 (2-),218,252,230,387,294,353r,304i,256,262,240,225,?,?,?,?,?,272,760,?,?,?,?,335,423r,280,432i,417
CrO4 (2-),118,152,130,287,194,253i,204i,156,162,140,125,?,171i,181i,?,?,?,460i,228i,175i,?,175i,235i,323i,180i,332i,317i
MnO4-,120,137,126,204,158,375,325,278,142,262,247,384,?,303,?,?,?,?,350,?,?,297,?,?,?,227,?
CO3 (2-),62,96,74,231,138,197i,148i,100i,106,84i,69s,?,115i,125i,112s,284,116i,?,172i,119i,298r,119i,?,267i,124i,276i,261i
C2O4 (2-),90,124,102,259,166,255i,176i,128i,134,112i,97,318,143i,153i,140,368i,144i,376i,200i,147i,382i,147,207i,295i,152i,304i,289i
HCO3-,62,79,68,146,100,259,210,162,84,146,?,?,?,187i,174,235,178,?,234,?,?,181,?,329,?,169,?
SiO3 (2-),78i,?,90i,247,154,213i,164i,116i,122,100i,85i,?,131i,141i,?,?,132i,?,189i,?,?,?,195i,283i,?,292i,277
