Reaction name,Reaction description
General,"Theoretical model of how electrons move in a chemical reaction
Reaction mechanisms describe electron movements in chemical reactions (detailed/theoretical explanatory model)
During the reaction, some bonds are broken while others are created (Change in the distribution between valence electrons)
Structures and all valence electrons are drawn out
Movement of electron pairs is drawn out with curved arrows

Heterolysis: A-[1->]-B -> [A+] + [B-], Homolysis: A-[1<-][->2]-B -> [A.] + [.B] (Free radicals)

Nucleophile, negative charge, -> positive charge
Electrophile, positive charge, -> negative charge
Both nucleophile and electrophile, Neutral, -> Both to positive and negative charge but weak

The strength depends on charge, solvent (strong in protic solvent), and electronegativity (inverse to value)
Carbocation (Intermediate, byproduct): A carbon with only 3 bonds, a positively charged intermediate (very short-lived)
Primary: R-[C+](-H)-H, Secondary: R-[C+](-R)-H, Tertiary (most stable): R-[C+](-R)-R

Alkoxide ion (Partially intermediate): R-[O-]
Transition state: [HO\d-](C2H5-)(H-)C(-H)[-Cl\d-]"
Organic chemistry pathway,"(([10] Ester, [9] Carboxylic acid, -), (-, [8] Aldehyde, [7] Ketone), ([6] Ether, [4] Alcohol, [5] Amine), ([2] Alkene, [3] Alkylhalogenide, -), (Long alkanmolekules in petroleum, [1]Alkane, -))
((1, 3, SUB), (2, 1, ADD), (2, 3, ELI), (2, 4, ADD), (3, 2, ADD), (3, 4, SUB), (3, 5, SUB), (4, 2, ELI), (4, 3, SUB), (4, 6, CON), (4, 7, OXI), (4, 8, OXI), (4, 10, CON), (7, 4, RED), (8, 4, RED), (8, 9, OXI), (9, 8, RED), (9, 10, CON), (10, 4, HYD), (10, 9, HYD))"
Addition reaction,One molecule is added to another/synthesis
A1,H-(H-)C=[1]=(-H)-H + [1>]H-[2->]-Br (Attack by electrophilic hydrogen (slow)) -> H-(H-)(H-)C-(H-)[C+][1<]-H + [1][Br-] (Nucleophilic attack) -> H-(H-)(H-)C-(H-)C(-Br)-H
A2*,H-(H-)C=[1]=(-H)-H -[1>][H+]-> H-(H-)C(-H)-(H-)-[C+][1<](-H) + H-[1]O-[2->]-H -> H-(H-)C(-H)-(H-)C(-H)-O-H + H+
A3,H-(H-)C=[1]=C(-H)-H + [1>][Br\d+]-[2->]-[Br\d-] -> H-(H-)C(-Br-1)-[1C+][<1](-H)-H + [1][Br-] -> H-(Br-)C(-H)-(Br-)C(-H)-H
Markovnikov's rule,"When hydrogen halides or water are added to unsymmetrical alkanes, the hydrogen atom binds to the double bond with the most hydrogen.
To the most tertial (if exist) -> fallback to secondary (if exist) -> No other choises as primary carbon
H-(H-)C(-H)-(H-)C=[1]=C(-H)-H + [1>][H\d+]-[2->][Cl\d-] (-(Secondary, stable) -> H-(H-)C(-H)-(H-)[C+][1<]-(H-)C(-H)-H + [1][Cl-] -> H-(H-)C(-H)-(H-)C(-Cl)-(H-)C(-H)-H (High concentration), -(Primary) -> H-(H-)C(-H)-(H-)C(-H)-(H-)[C+][1<]-H + [1][Cl-] -> H-(H-)C(-H)-(H-)C(-H)-(H-)C(-Cl)-H (Low concentration))"
Substitution reaction,"Part of a molecule is replaced with other atom(s), Reversible/Equilibrium reaction, S: Substitution, N: Nucleofile, 2: 2 compounds affect reaction rate"
Sn2,H-[O-][1] + H-(H-)[C\d+](-H)-[Cl\d-] <-> T[H-O-(H-)C(-H)(-H)-Cl] <-> H-O-(H-)C(-H)-H + [Cl-]
Sn1 (Tertiary carbon),"The nucleotide OH- has no place to attack.
H3C-([1>]Cl-)C[1](-CH3)-CH3 -(slow)-> H3C-[C+][1<](-CH3)-CH3 + [1]O-[H-] -(fast)-> H3C-(OH-)C(-CH3)-CH3"
