Name,Formula,Melting,Boiling,Color,Odour,Structure,Reactivity,Toxicity,Application,Solvent product/Löslighetsprodukt
Aluminiumhydroxid,Al(OH)3,,,,,,,,,1e-33
Antimonsulfid,Sb2S3,,,,,,,,,1.7e-93
Bariumfluorid,BaF2,,,,,,,,,1.7e-06
Bariumkarbonat,BaCO3,,,,,,,,,8.1e-09
Bariumsulfat,BaSO4,,,,,,,,,1.1e-10
Bly(II)bromid,PbBr2,,,,,,,,,7.9e-05
Bly(II)fluorid,PbF2,,,,,,,,,3.7e-08
Bly(II)jodat,Pb(IO3)2,,,,,,,,,2.6e-13
Bly(II)jodid,PbI2,,,,,,,,,1.4e-08
Bly(II)klorid,PbCl2,,,,,,,,,1.6e-05
Bly(II)sulfat,PbSO4,,,,,,,,,1.6e-08
Bly(II)sulfid,PbS,,,,,,,,,8.8e-29
Järn(II)hydroxid,Fe(OH)2,,,,,,,,,1.6e-14
Järn(II)sulfid,FeS,,,,,,,,,6.3e-18
Järn(III)hydroxid,Fe(OH)3,,,,,,,,,2e-39
Kalciumfluorid,CaF2,,,,,,,,,4e-11
Kalciumhydroxid,Ca(OH)2,,,,,,,,,5.5e-06
Kalciumkarbonat,CaCO3,,,,,,,,,8.7e-09
Kalciumsulfat,CaSO4,,,,,,,,,2.4e-05
Koppar(I)bromid,CuBr,,,,,,,,,4.2e-08
Koppar(I)jodid,CuI,,,,,,,,,5.1e-12
Koppar(I)klorid,CuCl,,,,,,,,,1e-06
Koppar(I)sulfid,Cu2S,,,,,,,,,2e-47
Koppar(II)jodat,Cu(IO3)2,,,,,,,,,1.4e-07
Koppar(II)oxalat,CuC2O4,,,,,,,,,2.9e-08
Koppar(II)sulfid,CuS,,,,,,,,,6e-37
Kvicksilver(I)jodid,Hg2I2,,,,,,,,,1.2e-28
Kvicksilver(I)klorid,Hg2Cl2,,,,,,,,,1.3e-18
"Kvicksilver(II)sulfid, röd",HgS,,,,,,,,,1.4e-53
"Kvicksilver(II)sulfid, svart",HgS,,,,,,,,,1.6e-52
Magnesiumammoniumfosfat,MgNH4PO4,,,,,,,,,2.5e-11
Magnesiumfluorid,MgF2,,,,,,,,,6.4e-09
Magnesiumhydroxid,Mg(OH)2,,,,,,,,,1.1e-11
Magnesiumkarbonat,MgCO3,,,,,,,,,1e-05
Nickel(II)hydroxid,Ni(OH)2,,,,,,,,,6.5e-18
Silverbromid,AgBr,,,,,,,,,7.7e-13
Silverhydroxid,AgOH,,,,,,,,,1.5e-08
Silverjodid,AgI,,,,,,,,,1.5e-16
Silverkarbonat,Ag2CO3,,,,,,,,,6.2e-12
Silverklorid,AgCl,,,,,,,,,1.6e-10
Silversulfid,Ag2S,,,,,,,,,6.3e-51
Vismutsulfid,Bi2S3,,,,,,,,,1e-97
Zinkhydroxid,Zn(OH)2,,,,,,,,,2e-17
Zinksulfid,ZnS,,,,,,,,,1.6e-24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Solved salt/Lättlösliga salter,,,,,,,,,
,NaCl,-,800,,,,,,,
,NaF,-,-,,,,,,,
,Salt precipitations/Fällningar,,,,,,,,,
,Ca(OH)2,,,,,,,,,
,Mg(OH)2,,,,,,,,,
,Al(OH)3,,,,,,,,,
,Mn(OH)2,,,,,,,,,
,Zn(OH)2,,,,,,,,,
,Fe(OH)2,,,,,,,,,
,Fe(OH)3,,,,,,,,,
,Cu(OH)2,,,,,,,,,
,AgOH,,,,,,,,,
,Pb(OH)2,,,,,,,,,
,Ni(OH)2,,,,,,,,,
,Co(OH)2,,,,,,,,,
,AgCl,,,,,,,,,
,Pb(Cl)2,,,,,,,,,
,AgBr,,,,,,,,,
,PbBr2,,,,,,,,,
,BaSO4,,,,,,,,,
,CaSO4,,,,,,,,,
,PbSO4,,,,,,,,,
,Ba2CO3,,,,,,,,,
,CaCO3,,,,,,,,,
,MgCO3,,,,,,,,,
,Al2(CO3)3,,,,,,,,,
,MnCO3,,,,,,,,,
,FeCO3,,,,,,,,,
,Fe2(CO3)3,,,,,,,,,
,CuCO3,,,,,,,,,
,Ag2CO3,,,,,,,,,
,PbCO3,,,,,,,,,
,NiCO3,,,,,,,,,
,CoCO3,,,,,,,,,
,FePO4,,,,,,,,,
,AlPO4,,,,,,,,,
,KNO3,,,,,,,,,
