Name,SystemVerilog,VHDL,Presetted values
"During synthesization, optimal solution will be synthesized
Testbench code cannot be synthesized into hardware","Verilog was developed by Gateway Design Automation as a proprietary language for logic simulation in 1984. Gateway was acquired by Cadence in 1989, and Verilog was made an open standard in 1990 under the control of Open Verilog International. The language became an IEEE standard in 1995.
The language was extended in 2005 to streamline idiosyncrasies and to better support modeling and verification of systems. These extensions have been merged into a single language standard, which is now called SystemVerilog (IEEE STD 1800-2009). SystemVerilog filenames normally end in .sv.","VHDL is an acronym for the VHSIC Hardware Description Language. VHSIC, in turn, stands for Very High Speed Integrated Circuits, a program initiated by the U.S. Department of Defense.
VHDL was originally developed in 1981 by the Department of Defense to describe the structure and function of hardware. Its roots draw from the Ada programming language. The language was first envisioned for documentation but was quickly adopted for simulation and synthesis.
The IEEE standardized VHDL in 1987 and has updated the standard several times since. This chapter is based on the 2008 revision of the VHDL standard (IEEE STD 1076-2008), which streamlines the language in various ways. At the time of this writing, not all VHDL-2008 features are supported by CAD tools; this chapter only uses those understood by Synplicity, Altera Quartus, and ModelSim.
VHDL filenames normally end in .vhd.
To use VHDL-2008 in ModelSim, you may need to set VHDL93 = 2008 in the modelsim.ini configuration file.",
"Module
A block of hardware with inputs and outputs","module <module_name>(input <logic/logic[3:0]> <name1>, <name2>, <name3>, ..., output <logic/logic[3:0]> <name1>, <name2>, <name3>, …);
    assign <name> = <expr>;
    <statements>;
endmodule","library IEEE; use IEEE.STD_LOGIC_1164.all; (library use clause)

(entity declaration: lists its inputs and outputs)
entity <name> is
    port(<name1>, <name2>, <name3>: in <STD_LOGIC/STD_LOGIC_VECTOR(3 downto 0)>;
        <name4>, <name5>, <name6>, …: out STD_LOGIC <STD_LOGIC/STD_LOGIC_VECTOR(3 downto 0)>);
end;

(architecture body defines module functionality)
architecture synth of <name> is
begin
    <name> <= expr;
    <statement>;
end;","<name1…> = [a, b, c], [y]
<expr…>: y=(-a)(-b)(-c)+a(-b)(-c)+a(-b)c

<name1…> = [a[3:0]], [y[3:0]]
<expr…>: y= !a"
Comments,"/* Comment code */
// one line comment","/* Comment code */
-- one line comment",
Names,Case-sensitive,Non-case sensitive,
Type declarations,"input logic …
logic: logic: inputs and outputs Boolean variabes (may have floating/undefined variables)
logic[3:0]: 4-bit vector/bus in little-endian order -> (a[3], a[2], a[1], a[0]), logic[0:3]: 4-bit vector/bus in big-endian order -> (a[0], a[1], a[2], a[3])","STD_LOGIC type in IEEE.STD_LOGIC_1164
STD_LOGIC_VECTOR type to indicate buses, little-endian order: STD_LOGIC_VECTOR(3 downto 0) -> (a(3), a(2), a(1), a(0)), big-endian order: STD_LOGIC_VECTOR(0 to 3) -> (a(0), a(1), a(2), a(3))",
Expressions,"Both single-bit and multi-bit types works for the operators (endianess matter for operators, as long as consistent endianess)
~ for inverse, & for and, | for or, ^ for xor","Both single-bit and multi-bit types works for the operators
not, and, or (DOES NOT FOLLOW PRECEDENCE ORDER, equations must be parenthesized)",
Reduction operators,"Same expressions:
assign y=&a
assign y = a[7] & a[6] & a[5] & a[4] & a[3] & a[2] & a[1] & a[0]","Same expressions
y <= and a;
y <= a(7) and a(6) and a(5) and a(4) and a(3) and a(2) and a(1) and a(0)",
Operator precedence,"~: NOT
*, /, %: MUL, DIV, MOD
+, -: PLUS, MINUS
<<, >>: LOGICAL LEFT/RIGHT SHIFT
<<<, >>>: ARITHMETIC LEFT/RIGHT SHIFT
<, <=, >, >=: RELATIVE COMPARISON
==, !=: EQUALITY COMPARASION
&, ~&: AND, NAND
^, ~^: XOR, XNOR
|, ~|: OR, NOR
?: (CONDITIONAL)","not: NOT
*, /, mod, rem: MUL, DIV, MOD, REM
+, -: PLUS, MINUS
rol, ror, srl, sll: ROTATOR LEFT, ROTATOR RIGHT, LOGICAL RIGHT SHIFT, LOGICAL LEFT SHIFT
<, <=, >, >=; RELATIVE COMPARASION
=, /=: EQUALITY COMPARISON
and, or, nand, nor, xor, xnor: Logical operations",
Number literals,"<number of bits: decimal number>'<base: b (2), o (8), d (10), h(16)><raw literal>
'<base: b (2), o (8), d (10), h(16)><raw literal>
<raw literal>
Signal values as 0, 1, x, z (Starting with z or x ar padded with leading z's or x's instead of 0's)","<number of bits: decimal number><base: B (2), O (8), D (10), H(16)>""<raw literal>""
<base: B (2), O (8), D (10), H(16)>""<raw literal>""
""<raw literal>""
Signal values as '0', '1', 'z', 'x', 'u' (uninitialized outputs)",
"Local variables
Statement order does not matter
(HDL assignment statements are evaluated any time the inputs, signals on the right hand side, change their value, regardless of the order in
which the assignment statements appear in a module)","logic p, g;
assign p = a^b;
assign q = a&b;
(Use then p and q)","architecture synth of <name> is
  signal p, g: <type e.g. STD_LOGIC, …>;
  begin
  p <= a xor b;
  q <= a and b;
  (use p and q)
end;",
