Group,Name,Basic relationship
rich,rich,rich
Basic operators,,"1 2 3 4 5 6 7 8 9
2 3 4 5 6 7 8 9 10
3 4 5 6 7 8 9 10 11
…"
,Addition,[Addition]… + Addition grids
,Subtraction,
,Subtraction,
,Multiplication,Multiplication grids
,Division,
Estimations,,
,,
,,
,,
Arithmetic shortcuts,,
,,
,,
,Multiplication,"*9 -> 9 * 9, drop the 9th finger, the rest forms 8 (on the left) and 1 on the right side."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Decimals and fractions,,"$math{""fraction"" = ""part""/""total""}"
,,"1/2=0.5, 1/3=0.[3], 2/3=0.[6], 1/4=0.25, 3/4=0.75, 1/5=0.2, 2/5=0.4, 3/5=0.6, 4/5=0.8, 1/6=0.1[6], 5/6=0.8[3], 1/7=0.[142857], …"
,,a/b -> decimal 
,,0.881 = 881/1000
,,"x= 0.03[51], 100x=3.[51], 10000x=351.[51] => 10000x-100x=351-3 => …"
,,percentage: 10%*200
,,"20% increase: a(1+20%), 10% decrease: b(1-10%)"
,,(a-a_0)/a_0
