Group,Name,Basic relationship,Presetted values
Basic algebra rules,Simple expansion,"Expansion: (x~y)=x~'y, Factorization: x~'y=(x~y), variables itself contains sign 
-> Expansion/Utveckling E[...], <- Factorization/Faktorisering F[...]
Start with innermost pair, remove brackets, collect like terms and add/subtract",
,,x+(y+z) = x+y+z,2 3 x = ...
,,x(y+z) = xy+xz,"2 2 -3 = …, xy=18x, xz=-2x^2, x=2x, y=9, z=-x"
,,1 + 2,4x+2(2x-3) = …
,,(x+y)(z+t) = xz+xt+yz+yt,x 3 2x 4 = …
,,x/y = (xz)/(yz),
,,"\\Ax -> x<3 -!-> x^2<3x or x^2<3x -> x<3
Cannot multiply or divide an inequality with an arbitrary variable!!!",
,Fractional arithmetics,(yr=ts) => x/y + z/t = xr/(yr)+zs/ts = (xr+zs)/yr = (xr+zs)/ts,"x=1, y=5, z=2, t=7, (r=7, s=5)
x=1, y=4, z=3, t=10, (r=5, s=2)"
,,"={k=0, n, T[k]B[k]}, +{k=0, n, A[k]/B[k]}=+{k=0, n, A[k]T[k]/B[k]T[k]}","A=[1, 3, -1], B=[8, 4, 6], T=[3, 6, 4]"
,,x/y = (xz)/(yz),"1/2=2/4, 5/3=10/6"
,,x/z*y/t = (xz)/(yt),
,,x/(y/z) = x/y*z,1/3 1 2
,,A/B = C/D -> (A + B)/B = (C + D)/D,
,,(A - B)/B = (C - D)/D,
,,(A - B)/(A + B) = (C - D)/(C + D),
,,Combined,"(1/7+5/7)/2, (1/8+1/12)/2"
,Power of sum/difference,(x+y)^2 = x^2+2xy+y^2,"3x 4, 4x 5/x, 2a 3b, (a+b) c -> a b
sqrt(2) sqrt(8)"
,,(x-y)^2 = x^2-2xy-y^2,7x 2
,,(x+y+z+…)^2 = (x^2+y^2+z^2) + 2x(y + z + ...) + 2y(z+…) + ...,
,,(x+y)(x-y) = x^2-y^2,x 4
,,(x+y)^2+(x-y)^2=2(x^2+y^2),2x 3
,,(x+y)^2-(x-y)^2=4xy,4x 5
,,(x+y)^3 = x^3+3x^2*y+3xy^2+y^3,7x 8
,,(x-y)^3 = x^3-3x^2*y+3xy^2-y^3,9x 2
,,(x+y)(x^2-xy+y^2) = x^3+y^3,7x 3
,,(x-y)(x^2+xy+y^2) = x^3-y^3,3x 5
,,"(x+y)^z = \\S(k=0, z, C(z, k)x^(z-k)y^k)","5x 3 5, 2x 3 4"
,,"(A(x)+B(x))^N -> k term -> C(N, k)A[^(z-k)](x)B[^k](x)",2 2x^2 3 7
,,"k term -> C(N, k)A[^(z-k)](x)B[^k](x) = K*x^m","A=2x^2, B=3, N=7, m=8 -> K
A=x^2, B=1/x^3, N=15, m=0 -> K"
,,"A^n - B^n = (A - B)(A^(n-1) + A^(n-2)B + A^(n-3)B^2 + ... + AB^(n-2) + B^(n-1))
n = positive integer",
,,"A^n + B^n = (A + B)(A^(n-1) - A^(n-2)B + A^(n-3)B^2 - ... - AB^(n-2) + B^(n-1))
only odd n",
,,,(1-5x)(1+15x)-3(2-5x)(2+5x)=...=10x-11
,Power rules,(xy)^z = x^z*y^z,9 x 6
,,(x/y)^z = x^z/y^z,7 x 2
,,\sqrt(xy) = \sqrt(x)\sqrt(y),15=3 5
,,\sqrt(x/y) = \sqrt(x)/\sqrt(y),3 4
,,"root(x, y)=x^(1/y)",16 -1/3
,Exponential rules,x^(y+z) = x^y*x^z,"4 x 1
4^(5n/2+1)=4^(3n/2)*4^(n+1)=16^(3n/4)*4^(n+1)"
,,x^(y-z) = x^y/x^z,4 x 5
,,(x^y)^z = x^(yz),4 2 x
,,,(-2)^127/2^130=(-1)2^127/2^130
,,,"3^(1/3)=3^(2*1/6)=9^(1/6), 2^(1/2)=2^(3*1/6)=8^(1/6)"
,,,(2^(2/3))^(1/2)*3^(1/3)/6^(-2/3) = 6^(1/3)/6^(-2/3) = 6
,Absolute value,"|x|={x: x>=0, -x: x<0} -> Interpreted as distance from x to 0 in number line, always positive
|a-b|={a-b: a>=b, b-a: a<b} -> Distance between a to b, always positive",
,,|-x|=|x|,
,,|ab|=|a||b|,
,,|a/b|=|a|/|b|,
,,|a+b|<=|a|+|b|,
,,"John Napier and Henry Briggs, 1618 log-tables with high precision",
,,"a^c=x, a^d=y => xy=a^c*a^d = a^(c+d) => log(xy)=c+d=log(x)+log(y)
xy=a^(log(x)+log(y)) = a^(log(x))*a^(log(y))=xy

lg(12345)=lg(1.2345*10^4)=lg(1.2345)+4=0.09149+4=4.09149",
,,,
,Logarithmic rules,log(xy) = log(x)+log(y),45=5 9
,,log(x/y) = log(x)-log(y),72 9
,,log(x^y) = y*log(x),e 2
,,log_n(x) = log(x)/log(n),8 2
,Comparasions,"1/5<2/5, 1/5<1/4, 8/9<9/10, 12/11>13/12",
,,3^(5/6)>3^(3/4),
,,"sqrt(10)+sqrt(12)>sqrt(9)+sqrt(11), sqrt(9)+sqrt(12)<sqrt(10)+sqrt(11) (square both sides)",
,Equations,A = B => f(A) = f(B),"x+1 2x+3 (f(n)=n-x-3), x+1 = 2x+3 => -2 = 2x, 2x+3=5x -> x=1"
,,"SOLUTIONS UNCHANGED:
1. Changing the order of terms on either side
2. Multiplying/dividing each side by the same non-zero constant
3. Adding/subtracting the same expression to/from each side
4. Corollary: A term may be moved from one side to the other if its sign is changed
5. Replacing an expression by an identity",
,,"SOLUTIONS CHANGED:
1. Multiplication/division of each side by a polynomial
2. Raising each side to a fractional/integer power",
,Equation system,"1. Solve either equation for one unknown in terms of the other
2. Substitute solution into second equation and obtain the first unknown
3. Substitute this unknown into either the original equations and solve for second unknown",
,,"1. (y+x=13, y-x=3) -> y=3+x -> (3+x)+x=13 -> (x=5, y=8)
2 (ADD) (y+x=13)+(y-x=3)=(2y=16)
3 (SUB) (y+x=13)-(y-x=3)=(y+x=13)+(-y+x=-3)=(2x=10)",
,Linear equations,ax+b=0 => x=-b/a,
,,x+(x+1)+(x+2)+(x+3)=…,
,,,(x_1*n_1)/(x_0*n_0)=1+16% => (x_0(1-20%)*n_1)/(x_0*n_0)=1+16% => n_1/n_0=1.16/0.8
,Quadratic equations,Completing the square: x^2+ax+b = x^2+2*a/2*x+(a/2)^2-(a/2)^2+b = (x+a/2)^2-(a/2)^2+b=(x+a/2+sqrt(b-a^2/4))(x+a/2-sqrt(b-a^2/4)),"14 45, 7 10 , -18 40"
,,ax^2+bx+c=0 -> x^2+b/a*x+c/a=0 (If b/a and c/a is integer or managable),3 -12 9
,,ax^2+bx+c=0 => \D=b^2-4ac x=(-b\pm\sqrt(\D))/(2a),5 2 -3
,,"ax^2+bx+c=0 => \D=b^2-4ac
=> \D>0 => 2 real roots, \D=0 => 1 real root multiplicity 2, \D<0 => 2 complex roots, (-4ac<0) => Pure imaginary","\D>=0, {1 8 b} -> b=…"
,,x^2+px+q => x=-p/2\pm\sqrt((p/2)^2-q),
,,"Vietas formula/Vietas sats: Francois Viete (1540-1603), x^2+(-(r_1+r_2))x+(r_1*r_2)",
,Terital equations,ax^3+bx^2+cx+d: …,
,,"Higher, may fallback to polynomial division",
,Absolute value equations,"|A(x)|=B => A(x_1)=B, A(x_2)=-B",
,,"|ax+b|= c => ax+b=c => x=(c-b)/a, ax+b=-c => x=(-c-b)/a","a=1, b=-2, c=3
a=-1, b=5, c=1"
,,"|ax+b|< c => -c<ax+b<c => (-c-b)/a<x<(c-b)/a: a>0, (-c-b)/a>x>(c-b)/a: a<0","a=1, b=-2, c=1"
,,"|ax+b|> c => ax+b>c => x>(c-b)/a, ax+b<-c => x<(-c-b)/a",
,,|x-a|=|x-b| => x=(a+b)/2,"a=-1, b=5"
,,|x-a|<|x-b| => x<(a+b)/2,"a=3, b=1"
,,|ax+b|+|cx+d|=\'e => ,|x-1|+|x+1|=3
,Negative factoring,(A*B)/(-A) = -B,"A=3-a, B=3+a"
,Conjugate multiplication,A/(B+C) = A(B-C)/((B+C)(B-C)) = A(B-C)/(B^2-C^2),"\sqrt(2) \sqrt(3) \sqrt(5)
\sqrt(2) \sqrt(3)+\sqrt(5) sqrt(7) -> \sqrt(2)(\sqrt(3)+\sqrt(5)-sqrt(7)) 2\sqrt(15) 1"
,Polynomial factorizations,"*{k=0, n, A[k]}=0 => {k=0, n, A[k]=0}","[x-2, x-5], [x+7, x-1], [2x+3, 5x+7], 9x^2-6x -> [3x+8, 3x-8]"
,,"P(x)=+{k=0, n, a[k]x^k}=A*(*{k=0, n, x-r[k]}), (P(r)=0 => {k=0, n, r[k]})","a=[1, -7, 15], r=[3, 5]"
