Name,Basic relationship,Presetted values
rich,rich,rich
General definition,"Extended definition to real numbers, i = sqrt(-1)
Visualized in complex plane, \\R^2
$math{z=a+bi}$ (a, b in \\R) (Re(z)=a: Real part/Realdelen, Im(z)=b: Imaginary part/Imaginärdel)",
Power multiplicity,"$math{i^0 = 1, i^1 = i^2 = -1, i^3 = -i, i^4 = 1, i^5 = i, i^6 = -1, i^7=-i, i^8=1}$",
$math{Rectangular form (z=a+bi)}$,$math{z=a+bi}$,
Conjugate,$math{conj(z)=conj(a+bi)=a-bi}$,
,$math{|z|=|a+bi|=sqrt(a^2+b^2)}$,
Equality,"$math{a+bi = c+di -> a=c, b=d}$",
Addition,$math{(a+bi)+(c+di)=(a+c)+(b+d)i}$,$math{1+2i 3-4i}$
Subtraction,$math{(a+bi)-(c+di)=(a-c)+(b-d)i}$,
Multiplication with real number,$math{c(a+bi)=ac+bci}$,
Multiplication,$math{z*u=(a+bi)(c+di)=ac-bd+(ad+bc)i}$,
Division,$math{z/u=(a+bi)/(c+di)=(a+bi)(c-di)/((c+di)(c-di))=(ac+bd+(bc-ad)i)/(c^2+d^2)}$,
Rules,$math{conj(z+w)=conj(z)+conj(w)}$,
,$math{conj(zw)=conj(z)*conj(w)}$,
,$math{conj(z/w)=conj(z)/conj(w)}$,
,$math{|zw|=|z||w|}$,
,$math{|z/w|=|z|/|w|}$,$math{3+i 4+3i -> sqrt(10)/5}$
,$math{|z^N|=|z|^N}$,$math{1-i 14}$
,$math{|z|^2=z*conj(z)}$,
,$math{w/z=w*conj(z)/|z|^2}$,
,,
,,
,,
,,
,,"$math{|(1+i)(i+2i)|/(3i)=sqrt(2)sqrt(5)/3}$
$math{|(a+bi)/|a-bi||=|a+bi|/|a-bi|=1}$"
Equations,,"$math{z+2conj(z)=2+3i => (a+bi)+2(a-bi)=2+3i => a=2/3, b=-3 => z=2/3-3i}$
$math{z+2conj(z)=2-i => a+bi+2(a-bi)=2-i}$"
,,$math{|z-1|=2|z+1|=>sqrt((a-1)^2+b^2)=2sqrt((a+1)^2+b^2)}$
,,
,,
,,
Polar form (z=re^(\t*i)),"Multiplication implies scaling and rotating the complex coordinate
$math{z=a+bi, z/|z|=a+bi/|a+bi|=cos(\t)+i*sin(\t)}$ (|z/|z||=1) -> $math{z=|z|(cos(\t)+i*sin(\t))}$
$math{arg(z)=\t}$ (Principal argument/Prinicpalargument: -\pi<\t<=\pi -> \t in arg(z), \t+2\pi in arg(z))",
,$math{z=re^(\t*i)=r(cos(\t)+i*sin(\t))}$,"$math{r=3, \t=\pi/6 -> a=3sqrt(3)/2, b=1/2}$
$math{a=-1, b=-sqrt(3) -> r=2, \t=4\pi/3}$"
Multiplikation,$math{z*u=r_1*e^(\t_1*i)*r_2*e^(\t_2*i)=r_1*r_2*e^((\t_1+\t_2)i)}$,
Division,$math{z/u=r_1*e^(\t_1*i)/(r_2*e^(\t_2*i))=r_1/r_2*e^((\t_1-\t_2)i)}$,$math{(1-i)/(1+i)=sqrt(2)e^(i-\pi/4)/(sqrt(2)e^(i-\pi/4))}$
Power,$math{z^n=(r*e^(\t*i))^n=r^n*e^(n*\t*i)}$,
,$math{conj(z)=conj(re^(\t*i))=re^(-\t*i)}$,
,,$math{i(i-1)/(-1-sqrt(3)i)=e^(i\pi/2)*sqrt(2)e^(i*3\pi/4)/(2e^(-2\pi/3*i))}$
,,
,,
,,
Complex polynomial equations,"$math{z^n=r_1e^(\ti) => r^n*e^(n\ti)=r_1e^(\t_1i) => (r^n=r_1, n\t=t_1+2k\pi)}$",$math{z^4=1+i}$
,"$math{z^2=c+di => (a+bi)^2=c+di => a^2+2abi-b^2=c+di => (a^2-b^2=c, 2ab=d, |z|=a^2+b^2=sqrt(c^2+d^2)) -> a=sqrt((sqrt(c^2+d^2)+c)/2), b=sqrt((sqrt(c^2+d^2)-c)/2)}$","$math{c=4, d=3}$"
