Group,Name,Basic relationship,Presetted values
rich,rich,rich,rich
Differentials/Differentialer,,"$math{y=f(x), \Dy = f(x+\Dx) - f(x)}
$math{(\Dy)/(\Dx) = (f(x+\Dx)-f(x))/\Dx = f'(x) + \e = dy/dx + \e, \e -> 0 as \Dx -> 0}",
,,$math{\Dy = f'(x)\Dx + \e*\Dx -> dy = f'(x)dx},
,,Differential rules analogous to derivative rules,
,,$math{dc = 0},
,,$math{d(cf)=cdf},
,,$math{d(f+g+h) = df+dg+dh},
,,$math{d(fg) = f*dg+g*df},
,,$math{d(f/g) =},
,,,
Derivatives/Derivator,$math{Definition of derivatives/Derivatans definition},"$math{Average/Medel: k=\Dy/(\Dx) = (f(x1)-f(x0))/(x1-x0)}
$math{Derivative/Derivata: k=dy/(dx) = lim x1->x0 (f(x1)-f(x0))/(x1-x0)}
$math{= lim h->0 (f(x+h)-f(x))/h (Forward derivative)}
$math{= lim h->0 (f(x)-f(x-h))/h (Backward derivative)}
$math{= lim h->0 (f(x+h)-f(x-h))/(2h) (Central derivative)}
Derivative as tangent of the curve",
,Elementary derivative functions,$math{d/(dx) kx^n = nkx^(n-1)},
,,$math{d/(dx) e^(kx) = ke^(kx)},
,,$math{d/(dx) a^x = ln(a)*a^x},
,,$math{d/(dx) ln(x) = 1/x},
,,$math{d/(dx) log_a(x) = d/(dx) ln(x)/ln(a) = 1/(ln(a)*x)},
,,$math{d/(dx) sin(Ax) = A*cos(x)},
,,$math{d/(dx) cos(Ax) = -A*sin(x)},
,,$math{d/(dx) tan(x)=1/cos^2(x)=sec^2(x)},
,,$math{d/(dx) cot(x)=-1/sin^2(x)=-cosec^2(x)},
,,$math{d/(dx) sec(x)=sec(x)tan(x)},
,,$math{d/(dx) cosec(x)=-cosec(x)cot(x)},
,,$math{d/(dx) arcsin(x)=1/sqrt(1-x^2)},
,,$math{d/(dx) arccos(x)=-1/sqrt(1-x^2)},
,,$math{d/(dx) arctan(x)=1/(1+x^2)},
,,$math{d/(dx) arccot(x)=-1/(1+x^2)},
,,"$math{d/(dx) arcsec(x)=\pm 1/(x*sqrt(x^2-1)), (+: 0 < arcsec(x) < \pi/2, -: \pi/2 < arcsec(x) < \pi)}",
,,"$math{d/(dx) arccsc(x)=\pm 1/(x*sqrt(x²-1)), (+: -\pi/2 < arccsc(x) < 0, -: 0 < arccsc(x) < \pi/2)}",
,,$math{d/(dx) sinh(x) = cosh(x)},
,,$math{d/(dx) cosh(x) = sinh(x)},
,,$math{d/(dx) tanh(x) = 1/sinh^2(x) = sech^2(x)},
,,$math{d/(dx) coth(x) = -csch^2(x)},
,,$math{d/(dx) sech(x) = -sech(x)*tanh(x)},
,,$math{d/(dx) csch(x) = -csch(x)*coth(x)},
,,$math{d/(dx) arcsinh(x) = 1/sqrt(x^2+1)},
,,"$math{d/(dx) arccosh(x) = \pm 1/sqrt(x^2-1), (+: arccosh(x)>0, x>1, -: arccosh(x)<0, x>1)}",
,,"$math{d/(dx) arctanh(x) = 1/(1-x^2), (-1 < x < 1)}",
,,$math{d/(dx) arccsch(x) = -1/(|x|sqrt(1+x^2))},
,,$math{d/(dx) arcsech(x) = -1/(|x|sqrt(1-x^2))},
,,"$math{d/(dx) arccoth(x) = 1/(1-x^2), (+: arccoth(x)<0, x>1, -: arccoth(x)>0, x>1)}",
,Derivative rules,$math{d/(dx) (f(x)+g(x)) = f'(x) + g'(x)},"$math{e^(2x)-sin(3x), ln(x)+arctan(x), arcsin(2x)+(2x+1)^7}"
