Name,Basic relationship,Presetted values
Verification of solution,"y=x*ln(x)->xy'-y+2xy''=x+2
y=x*ln(x), y'=ln(x)+1, y''=1/x => xy'-y+2xy''=x(ln(x)+1)-x*ln(x)+2x*1/x=x+2",y=ln(x)->xy'-y+2xy''=x+2
,"y=sin(5x)->y'+ky=5cos(5x)+3sin(5x), k=?
y=sin(5x), y'=5cos(5x) => y'+ky=5cos(5x)+k*sin(5x)=5cos(5x)+3sin(5x) => k=3",
,"y=A*cos(2x)+B*sin(2x) -> y''+4y=0
y=A*cos(2x)+B*sin(2x), y'=-2A*sin(2x)+2B*cos(2x), y''=-4A*cos(2x)-4B*sin(2x) => y''+4y=-4A*cos(2x)-4B*sin(2x)+4(A*cos(2x)+B*sin(2x))=0",
"Integral solutions, opposite to antiderivative
",F(x) = \int{f(x)dx} => F'(x) = f(x),
,Ay'=B=>y=\int{B/A*dx},sqrt(x) 7-1/x -> y=14\sqrt(x)+2/\sqrt(x)+C
,"Ay""=B=>y=\int{\int{B/A*dx}dx}","1 Acos(x)-Bsin(x) -> (y(0)=2, y'(0)=3) -> y=sin(x)-cos(x)+3x+2"
,Ay^(n)=B=>\int^(n){B/A*dx},
,"y(x_p)=y_p=>...C1 C2, y(x)=...",
,y'+12y=0,"(Tangent->(1, 0.5)) y'+12*0.5=0=>..."
Separable differential equation,g(y)y'=f(x)=>\int{g(y)dy}=\int{f(x)dx}=>G(y)+C1=F(x)+C2,"3y^2 4x -> y=cbrt(2x^2+C)
y'=1/(xy-y) -> y 1/(x-1) -> y=sqrt(2ln|x-1|+C)"
,y'=f(x)g(y)=>1/g(y)y'=f(x),"sin(x) y^2 -> y=1/(cos(x)+C), x 1/y -> y=sqrt(x^2+C)"
,x^2*y'+y=0 => 1/y*y/dx=-1/x^2 => ln|y|+C_1=1/x+C_2 ,
,y'=kf(x)g(y)=>1/g(y)y'=kf(x),dx/(dt)=k(120-3x/5)(60-2x/5) => dx/(dt)=6k/25(200-x)(150-x) => 1/((200-x)(150-x))dx/(dt)=6k/25 => 1/50(1/(x-200)-1/(x-150))dx/(dt)=6k/25 => 1/50(ln|x-200|-ln|x-150|)+C_1=6kt/25+C_2 => (x-200)/(x-150)=Ce^(12kt)
,f(x)y'+g(y)=0=>1/g(y)y'=-1/f(x),x^2 y -> y=Ce^(1/x)
"Integrating factor
",y'+g(x)y=f(x)=[*e^G(x)]>(e^G(x)y)'=f(x)e^G(x),2x 2x^3
,y'+Ay=BA=>...,"(2 4)x, (3 5)x^2, sqrt(x), (1 4)sin(x)"
,y'+A/xy=B=>(x^A)'=Bx^A,2 x
,Ay'+By=C=>y'+B/Ay=C/A,"x^2 x 3/x^2, s+1 3 s+1"
First order/Första ordningen,y'+ay=0=>y'=-ay=>ln(y)+C1=-ax+C2=>y=Ce^(-ax),1 e
,ay'+by=0=>y'+b/ay=0,2 1
Inhomogeneous/Inhomogen,"If the guess solves the homogeneous equation, multiply by x repeatedly and solve until it does not solve the homogeneous equation
Each term on the right-hand side constitutes a particular solution",
,"y'+ay=f(x), y=y_h+y_p",
,y_p=A-> B,
,a y'+ay,
,ax+b,
,ax^2+bx+c,
,ae^(kx),
,asin(kx)+bcos(kx),
Growth model,y'=y'_(in)-y'(out)+k_(in)y-k_(out)y,
,"y'=Q_(in)-y/VQ(out), V=V, V=V0+t(Q_(in)-Q_(out))","Q_(in)=5*100, Q_(out)=5, V=50"
,y'=Q_(in)-y/VQ(out),
,y'=A-y/f(t)B,
Newton's law of cooling/Newtons avsvalningslag,T'=-k(T-T_a) -> T=Ce^(kx)+T_a,95 20
,y'=ky(1-y/M)=>\int{(1/y+1/(M(1-y/M))dy}=\int{k*dx}=>y/(M-y)=Ce^(kt)=>y=MCe^(kt)/(Ce^(kt)+1),
,mv'=mg-kv^2=>v'=g-k/mv^2,
