Name,Basic relationship,Presetted values
Definition of integrals,"\int{a, b,f(x)dx} ~= lim n->\inf \\S{k=0, n, f(x_k)*\Dx}
F(x) = \int{f(x)dx} + C (C is an arbitrary constant)",
"Common integral functions
Through antiderivation:
F(x) = \int{f(x)dx} => F'(x) = f(x)",\int{kx^n*dx} = kx^(n+1)/(n+1),
,"\int{+{i=0, N, k_i*x^n_i*dx}} = +{i=0, N, k_ix^(n_i+1)/(n_i+1)} (Polynomial equation)","(k=[4, 6, -2], n=[3, 2, 1]), (k=[1, 3, 4], n=[-2, 1/2, 1/3])"
,"\int{|f(x)|*dx} = {\int{f(x)dx} f(x)>=0, \int{-f(x)dx f(x)<0}}",f(x)=x-1
,\int{e^(kx)*dx} = e^(kx)/k,"k=2, k=-2"
,\int{a^x*dx} = a^x/ln(a),
,\int{1/x*dx} = ln(x),
,\int{ln(x)*dx} = \int{1*ln(x)*dx} = xln(x)+x,
,\int{sin(kx)*dx} = -cos(kx)/k,k(x)=2x+5
,\int{cos(kx)*dx} = sin(kx)/k,k=3
,\int{tan(x)*dx} (= \int{sin(x)/cos(x)*dx}) = -ln|cos(x)|,k=3x+\pi/4
,\int{cot(x)*dx} (= \int{cos(x)/sin(x)*dx}) = ln|sin(x)|,
,\int{1+tan^2(x)*dx} = tan(x),
,\int{1+cot^2(x)*dx} = -cot(x),
,\int{1/cos^2(x)*dx} = tan(x),
,\int{1/sin^2(x)*dx} = -cot(x),
,\int{1/\sqrt(1-x^2)*dx} = arcsin(x),
,\int{-1/\sqrt(1-x^2)*dx} = arccos(x),
,\int{1/(x^2+1)*dx} = arctan(x),
,\int{1/(x^2+a^2)*dx} (= 1/a\int{1/((x/a)^2+1)*1/a*dx} ) = 1/a*arctan(x/a),4/(2x^2+3)=2/(x^2+sqrt(3/2)^2)
,\int{1/(x*sqrt(x^2-1))*dx} = arcsec(x),
,\int{sinh(x)*dx} = cosh(x),
,\int{cosh(x)*dx} = sinh(x),
,\int{tanh(x)*dx} = ln(cosh(x)),
,\int{coth(x)*dx} = ln|sinh(x)|,
,\int{1/\sqrt(1+x^2)*dx} = arcsinh(x) = ln|x+sqrt(x^2+1)|,
,\int{1/\sqrt(1-x^2)*dx} = arccosh(x) = ln|x+sqrt(x^2-1)|,
,\int{1/(1-x^2)*dx} = arctanh(x),
Integration rules,\int{(f(x)+g(x))*dx} = F(x) + G(x) + C,
,"\int{f(x)g(x)*dx} = F(x)g(x) - \int{F(x)g'(x)} + C (Integration by parts, may recurse)","(f=x, g=cos(x)), (f=x, g=sin(x)), (f=x^2, g=sin(x)), (f=x, g=sinh(x)), (f=e^x, g=x^3+1), (f=x^2, g=e^x), "
,(Spontanous product): \int{f(x)dx} = \int{1*f(x)dx} = x*f(x)-\int{x*f'(x)*dx},"f=ln(x), f=ln(sqrt(x)), f=ln(sqrt(x)), f=arctan(x), f=arcsin(x)"
,\int{f(x)g(x)*dx} = F(x)g(x) - \int{F(x)g'(x)} + C (g(x) for non-integral),"(f=x^3, g=ln(x)), "
,I(x)=\int{f(x)g(x)*dx} = F(x)g(x)-\int{F(x)g'(x)} = F(x)g(x)-…(I(x)) -> I(x) = …,"(f=sin(x), g=cos(4x)), (f=e^x, g=sin(x))"
,\int{f(g(x))g'(x)*dx} = F(g(x)),
,"Substitution: \int{f(g(x))g'(x)*dx} = (t=g(x), dt/dx=g'(x) -> dx=dx/g'(x)) = f(g(x))",
Compound integrations,\int{f(x)*dx}=…,"x+cos(x), 2e^x-4, 1/cos^2(x)+sin(x)"
Absolute value integrals,"\int{a, b, […|f(x)|]dx} = \int{a, 0, […|f(x)|]dx} + \int{0, b, […|f(x)|]dx}",
Rational expressions,"\int{+{k=0, len(a, b), a[k]*x^(b[k])}/(cx^d)*dx} = \int{+{k=0, len(a, b), a[k]*x^(b[k])/(cx^d)}*dx}","(a=[6, -2], b=[2, 0], c=1, d=2)"
,"\int{+{k=0, n, a_k(x)}/b(x)*dx} = \int{+{k=0, n, a_k(x)/b(x)}*dx}","(cos^3(x)+1)/cos^2(x), (e^(2x)+1)/e^x"
,\int{ax/(bx+c)*dx}=\int{1-((b-a)x-c)/(bx+c)*dx},(x^2-1)/(x^2+1)=1-(2/(x^2+1))
,Substitution for rational: \int{f'(x)/f(x)*dx}=ln|F(x)|,"2x/x^2+1, 4x/(x^2+1), x/(4-x^2), x^4/(x^5+1), e^r/(2e^r+1), (2x+2)/(x^2+2x+3), (x+1)/(x^2+2x+3)=1/2*(2x+2)/(x^2+2x+3)"
,"\int{p(x)/g^n(x)*dx}=(t=g(x), dt/dx=g'(x))=…","(4x-2)/(2x+1)^2*dx=(t=2x+1, dt/dx=2)=(t-2)/t^2*dt"
,,(9x+6)/(3x+1)^3=3(3x+1)/(3x+1)^3+3/(3x+1)^3
Rational partial fraction decomposition,\int{PFD(p(x)/q(x))*dx},"(p=5x-11, q=x^2-5x+4), (p=x+7, q=x^2+2x-3), (p=8x^3+16, q=(x+1)^3(x-1)^2)"
,With polynomial division: \int{PD(PFD(p(x)/q(x)))dx},"(p=x^2, q=x-1), (p=x^3+2x^2+3x+4, q=x^2+1)"
,"Reduce header numerator degree if numerator and denominator same degree:
\int{1+PFD((p(x)-q(x))/q(x))dx}","(p=x^2+x+2, q=x^2+2x-3), (p=x+1, q=x^3-6x^2+5x)"
,"Hermites method:
\int{+{k=0, n, A[k]*x^k}/*{k=0, len(B), +{l=0, m, B[k][l]*x^l}^len(B)}dx}=…+\int{+{}/*{}}","(p=x^3, q=(x^2+2x+2)^2)"
Radical expression,"Linear: \int{p(x, [...root{n, (ax+b)/(cx+d)})*dx]}= [t=root{n, (ax+b)/(cx+d)}]","(x+2)/cbrt(x+1), 1/(x+sqrt(x)), (7x+10)cbrt(x+2), (x*sqrt(x-1))/(1-sqrt(x-1))"
,Radical chains: \int{A*sqrt(f(x))*f'(x)*dx} = 2/3*A*(f(x))^(3/2),sqrt(x^4+1)*x^3
,"\int{sqrt(x^2+1)*dx}=[x=sinh(t), dx/dt=cosh(t)]=\int{sqrt(cosh^2(t))*cosh^2(t)*dt}",
,"Eulersubstitution: t=x+sqrt(x^2+1)
\int{1/sqrt(x^2+1)*dx} = ln(x+sqrt(x^2+1))",
,\int{x/sqrt(x^2-2x+3)} -> … -> \int{x/sqrt(x^2+1)*dx} + \int{1/sqrt(x^2)+1},
,\int{sqrt(x^2-2x+3)*dx} = \int{1*sqrt(x^2-2x+3)*dx} = x*sqrt(x^2-2x+3)-\int{sqrt(x^2-2x+3)*dx}+\int{…*dx},
,"sqrt(1-x^2)=(x=sin(t)), dx/dt=cos(t))=sqrt(cos^2(x))*cos(x)*dt",
Exponential expressions,\int{1/(e^x-e^(-2x)+2)dx} = [t=e^x] = \int{e^x/((e^x)^2-e^(-2)+2e^x)*dx},
,Chains: \int{x^(n-1)*e^x^n*dx}=\int{1/n*e^x^n*nx^(n-1)*dx} = e^x^n/n,
,\int{ln(1+e^x)/e^x*dx} -> PARTIALINT,
Logarithmic expressions,"\int{ln(+{k=0, n, A[k]*x^k})dx} = \int{ln(A*(*{k=0, n, x-r[k]}))dx} = \int{(ln(A)+(+ln({k=0, n, x-r[k]})))dx}
(+{k=0, n, A[k]*x^k}=0 => {k=0, n, r[k]})","A=[1, -3, 2] -> A=1, r[1, 2]"
,\int{ln(A(x)/B(x)dx} = \int{(ln(A(x))-ln(B(x)))dx},
Trigonometrical expressions,\int{sin^2(x)dx} = \int{(1-cos(2x))/2*dx},
,\int{cos^2(x)dx} = \int{(1+cos(2x))/2*dx},
,\int{sin^(2n)(x)dx} = \int{(sin^2(x))^n*dx} = EXPAND[\int{((1+cos(2x))/2)^n*dx}],
,\int{cos^(2n)(x)dx} = \int{(cos^2(x))^n*dx} = EXPAND[\int{((1-cos(2x))/2)^n*dx}],
,\int{sin^(2n+1)(x)dx}=\int{-(1-cos^2(x))^(2n)*(-sin(x))*dx},
,\int{cos^(2n+1)(x)dx}=\int{(1-sin^2(x))^(2n)*cos(x)*dx},"2n+1=3 (n=1), 2n+1=5 (n=2)"
,"\int{cos^n(x)*sin^m(x)*dx}=…
\int{sin^4(x)*cos^2(x)*dx} = \int{sin^4(x)*(1-sin^2(x))*dx} = \int{(sin^4(x)-sin^6(x))dx}
\int{sin^3(x)cos^4(x)dx} = \int{(1-cos^2(x))cos^4(x)*sin^4(x)dx}",
,"Tangentification [t=tan(x/2)]
sin(x) = 2t/(1+t^2)
cos(x)=(1-t^2)/(1+t^2)
dx=2/(1+t^2)*dt","\int{1/(1+cos(x)+sin(x))dx}=(x=2v, dx=2dv)=\int{1/(1+(1-tan^2(v))/(1+tan^2(v))+2tan(v)/(1+tan^2(v)))2dv}=\int{(1+tan^2(v))/(1+tan(v))dv}=(t=tan(v), dv=1/(t^2+1)dt)=…
\int{1/(5-4cos(v)dv}=…
\int{sin(v)/(1+sin(v))dv}=\int{(1-1/(1+sin(v)))dv}"
,Other tangentifications,"\int{1/(1+cos^2(v))dv}=\int{(tan^2(v)+1)/(tan^2(v)+2)dv}=(t=tan(v), dv=1/(t^2+1)}=…"
,"Tangent target
\int{(tan^3(x)+tan^4(x))*dx} = [t=tan(x)] = \int{(t^3+t^4)/(t^2+1)dt}",
