Group,Name,Basic relationship,Presetted values
rich,rich,rich,rich
Formal limit,Formal limit definition/Formell gränsvärdedefinition,"$math{lim{x->a, f(x)} = L}
For any $math{\e > 0}, there exist $math{\d > 0} such that $math{|x-a|<\d => |f(x)-L|<\e}

$math{lim{x->\inf, f(x)} = L}
For any $math{\e > 0}, there exist $math{R > 0} such that $math{x>R => |f(x)-L|<\e}

Left limits (Vänstergränsvärde), Right limits (Högergränsvärde)",
,Limit value in infinity/Gränsvärde i oändligheten,"$math{lim{x->\inf, f(x)}=L} means that f(x) approaches L for any large x",
,Infinite limit value/oändliga gränsvärde,"$math{lim{x->a, f(x)}=\inf} means f(x) greater than any number by choosing x sufficiently close to a, (Improper limit/Oegentlig gränsvärde)",
Limit laws,Addition law,"$math{lim{x->a, f(x)+g(x)} = lim{x->a, f(x)} + lim{x->a, g(x)}}",
,Product law,"$math{lim{x->a, f(x)*g(x)} = lim{x->a, f(x)} * lim{x->a, g(x)}}",
,Quotient law,"$math{lim{x->a, g(x)} != 0}, $math{lim{x->a, f(x)/g(x)} = lim{x->a, f(x)}/lim{x->a, g(x)}}",
,Reciprocal law,"$math{lim{x->a, f(x)} != 0}, $math{lim{x->a, 1/f(x)} = 1/lim{x->a, f(x)}}",
,Substitution law,"$math{lim{x->a, g(x)} = L}, $math{lim{x->a, f(x)} = f(L)} -> $math{lim{x->a, f(g(x))} = f(lim{x->a, g(x)}) = f(L)}",
,"Squeeze theorem, squeeze law","$math{g(x) <= f(x) <= h(x)}, $math{a in [A, B]} -> $math{lim{x->a} g(a)=h(a)} -> $math{lim{x->a, f(x)}=lim{x->a, g(x)}=lim{x->a, h(x)}}","$math{g=(x+1)/(x+2)}, $math{h=(x+2)/(x+1)}, $math{x>=0}, $math{a=\inf}"
,,,
,,,
,,,
,,,
,,,
,,,
Limits,Informal limit definition/Informell gränsvärdedefinition,"$math{lim{x->a, f(x)} = L}
f(x) does not have to be defined at $math{x=a}
When limit x approaches a, f(x) approaches L",
,Standard limits/Standardgränsvärde,$math{lim x->\inf 1/x = 0},
,,$math{lim x->\inf 1/x^n = 0},
,,$math{lim x->\inf 1/a^x = 0},
,,"$math{lim{x->\inf, x^n/a^x} = 0}

($math{lim{x->\inf, ln(x)/x}=0}: $math{ln(x)<=x-1 (x>=1)}, $math{f(x)=ln(x)-(x-1)} -> $math{f(1)=0}, $math{f'(x)=1/x-1<0 (x>=1)}, $math{x>=1} -> Decreasing, $math{f(x)<=f(1)=0} -> $math{0<=ln(x)/x<2/sqrt(x)} -> $math{ln(x)/x -> 0})",
,,$math{lim x->\inf} ,
,,,
,Determinable forms,"($math{A+\inf=\inf}, $math{A*\inf=\inf}, $math{\inf+\inf=\inf}, $math{\inf*\inf=\inf}, $math{\inf^\inf=\inf}, $math{ln(\inf)=\inf}, $math{A/\inf=0}, $math{\inf/A=\inf}, $math{A/(0+)=\inf}, $math{A/(0-)=-\inf})

$math{lim{x->a, f(x)} = f(a)}","$math{a=4}, $math{f(x)=x^2-3}"
,Indeterminable forms,"($math{0/0}, $math{\inf/\inf}, $math{\inf-\inf}, $math{0*\inf})",
,Fractional simplification,"$math{lim{x->\inf, +{k=0, n, a[k]x^k}/+{k=0, m, b[k]x^k}} = \lim{x->\inf, +{k=0, n, a[k]x^(k-m)}/(b[m](+{k=0, m-1, b[k]x^(k-m)}))}}","$math{lim{x->0, (x^2+4x)/x} = lim{x->0, x(x+4)/x}}"
,Forced fractional/radical simplification (lim->\inf),"Order of growth: $math{1 < ln(x) < x < x*ln(x) < x^2 < x^3 < ... < 2^x < 3^x < ...}","$math{lim{x->\inf, (6x-10)/(20-x)} = lim{x->\inf, (6x-10)(1/x)/((20-x)(1/x))}}
$math{lim{x->\inf (5x^2+2x+1)/(x^2+2x)} = ...}
$math{lim{x->\inf, (x+1)/sqrt(x^2+1)} = lim{x->\inf, (1+1/x)/sqrt(1+1/x^2)}}
$math{lim{x->\inf, (x^4+xln(x))/(x+(2/3)^x)} = lim{x->\inf, (1+ln(x)/x^3)/(1/x^3+(3/2)^x/x^4)}
$math{lim{x->\inf, (e^(2x)+e^(-x)+3)/(10e^(5x)-10e^(-10x)+2) = [factor e^(5x)]}"
,Difference to fraction,"(Exceptions to logarithms and other difference bindings), ($math{lim{x->a, A(x)} = \inf}, $math{lim{x->a, B(x)} = \inf})
$math{lim{x->a, A(x)-B(x)} = lim{x->a, (A(x)-B(x))(A(x)+B(x))/(A(x)+B(x))} = lim{x->a, (A^2(x)-B^2(x))/(A(x)+B(x))}}","($math{A=sqrt(x^2+x+1)}, $math{B=x}), ($math{A=sqrt(x^2+3x)-sqrt(x^2+1)})"
,Subtraction of order,"$math{lim{x->\inf, e^x-x^2} = lim{x->\inf, e^x(1-x^2/e^x)}}",
,Variable substitution,"$math{lim{x->a, f(x)}=[t=A(x), x=B(t)]=lim{t->A(a), f(B(t))}}",
,Substitution to growth order,,"$math{lim{x->\inf, (ln(x))^300/x} = [t=ln(x)] = lim{t->\inf, t^300/e^t}}
$math{lim{x->\inf, ln(sqrt(x))/x} = [t=sqrt(x)] = lim{t->\inf, ln(x)/x^2}}
$math{lim{x->\inf, 2^ln(x)/x^ln(2)} = [t=ln(x)] = lim{t->\inf, 2^t/(e^t)^ln(2)}}"
