Group,Name,Basic relationship,Presetted values
rich,rich,rich,rich
,,,
,,,
Multivariable concepts,Neighbourhood/Omgivning,"B_r([a]) = {[x] \in \\R^n: |[x]-[a]|<r}

n=1: open interval (a-r, a+r)
n=2: open disk
n=3: open ball",
,"Open/closed set
Öppen/Sluten mängd","Open interval, closed interval -> Open set, closed set
Öppen interval, sluten intervall -> Öppen mängd, sluten mängd

S is open in \\R^n if every point of S has neighbourhood contained in S (sets defined by strict inequalities < or > e.g. x+y+z>2)",
,"Complement/Komplement, $math{S^c}","Set of all points in \\R^n that does not belong to S
Complement to open set -> closed set",
,Boundary point/Randpunkter,"Every neighbourhood of P contains both points in S and points in S^c
Boundary bdry(S) = set of all boundary points in S
Varje omgivning innehåller inre och yttre punkter",
,,"Interior point/Inre punkt: int(S), Inuti mängden (omgivning som ligger innanför mängden
Exterior point/Yttre punkt: ext(S), Utifrån mängden (omgivning som ligger utanför mängden)
Both are open sets",
,,,
Koordinater,Polära koordinater (\\R^2),"[Image]
$math{x = r*cos(\t)}, $math{y = r*sin(\t)}
$math{r = sqrt(x^2+y^2)}, $math{tan(\t) = y/x}",
,Cylindriska koordinater (\\R^3),"[Image]
$math{x = r*cos(\t)}, $math{y = r*sin(\t)}, $math{z = z}
$math{r = sqrt(x^2+y^2)}, $math{tan(\t) = y/x}, $math{z=z}",
,Sfäriska koordinater (\\R^3),"\f: R-line-z, \t -> x-y plane
x = R*sin(\f)*cos(\t), y = R*sin(\f)*sin(\t), z = R*cos(\f)
R = sqrt(x^2+y^2+z^2), tan(\f) = sqrt(x^2+y^2)/z, tan(\t) = y/x",
,,,
,,,
,Vektorvärda funktioner av en variabel,"f(t) = (x(t), y(t), z(t)) [Image]
f'(t_0) = lim{h->0, (f(t_0+h) - f(t_0))/h} = (x'(t_0), y'(t_0), z'(t_0))",
,Reelvärda funktioner av flera variabler,"graf: {(x, y, z): z = f(x, y)}, nivåkurva/höjdkurva: {(x, y): f(x, y) = C} [Image]
Kontinuerlig i (a, b): $math{\lim{(x, y) -> (a, b), f(x, y) = f(a, b)}}","f(x, y)=x^2+y^2"
,,,
Vector function with one variable,,"$math{[f](x) = (x, y, z) = x*[i] + y*[j] + z*[k]}
$math{f(x) = (cos(x), sin(x))}, $math{\\R -> \\R^2}
$math{|f| = sqrt(x^2+y^2+z^2)}
$math{|f-g|}",
,Derivatives,$math{d/(dx)*([u](t) + [v](t)) = [u]'(t) + [v]'(t)},
,,$math{d/(dx)*(\l(t)*[u](t)) = \l'(t)*[u](t) + \l(t)*[u]'(t)},
,,$math{d/(dx)*([u](t).[v](t)) = [u](t).[v]'(t) + [u]'(t).[v](t)},
