Group,Name,Basic relationship,Presetted values
rich,rich,rich,rich
,Fundamental concepts,"Point
Line
Line segment, line ray
Angle (Angle tip, )/(Vinkel, vinkelspets, vinkelben) $math{<A = <BAC}
Acute angle, Right angle=90\deg, Obtuse angle/(spetsig vinkel, rät vinkel, trubbig vinkel)",
,Paraell lines,"$math{1//2, 1//3 -> 2//3}",
,Angles,"Adjacent angles/Sidovinklar: $math{α+β=180°}
Vertical angles/Vertikalvinklar: $math{α=β}
Transversal angles/Transversalvinklar: $math{α=β=γ}
Corresponding angles/Likbenägna vinklar: $math{α=β}
Alternate angles/Alternatvinklar: $math{α=γ}
Bisector/Bisektris: $math{α/2}",
,Transformations,"Translation
Scale ($math{S=1/10, A=S^2, V=S^3})
Rotation
Reflection
Dilation",
,Polygons,"Inner angle sum (n-polygon): $math{180\deg(n-2)}
Outer angle sum: $math{360\deg}
Concave/Convex polygons",
,TRIANGLES - GENERAL TRIANGLES,"Note: $math{s=semiperimeter=(1/2)(a+b+c)}, $math{r=radius of inscribed circle}, $math{R=radius of circumscribed circle}
Sum of the Interior Angles: $math{A+B+C=180\deg}
Height: $math{h=a*sin(B)=b*sin(A)}
Perimeter: $math{a+b+c}
Area: $math{K=(1/2)hc=(1/2)absin(C)=abc/(4R)}, $math{K=rs=sqrt(s(s-a)(s-b)(s-c))}
Radii: $math{r=(absin(C))/(2s)=(s-c)tan(C/2)}, $math{R=c/(2sin(C))=abc/(4K)}

Geometry:
Point(A,B,C,D), Triangle(A,B,C), Segment(A,C)=b, Segment(B,C)=a, Segment(A,D,B)=c, Segment(C,D)=h, Perpendicular(Line(C,D),Line(A,B))",
,,(Acute/Obtuse triangles),
,Isoceles triangle,$math{<B=<C} $math{AB=AC},
,Equilateral triangle,3I+<60 3 angles = 60 3/=,
,Right triangle,Apply Pythogoras formula ($math{a^2+b^2=c^2}),
,,,
,TRIANGLES - RIGHT TRIANGLES,"Interior Angles:\n$math{A+B=C=90\deg}\n\nArea:\n$math{(1/2)ab=(1/2)hc}\n\nPerimeter:\n$math{a+b+c}\n\nRadii:\n$math{r=ab/(a+b+c)}\n\n$math{R=(1/2)c}\n\nGeometry:\nSystem(2,Euclidean)\nPoint(A,B,C,D)\nTriangle(A,B,C)\nSegment(B,C)=a\nSegment(A,C)=b\nSegment(A,B)=c\nSegment(C,D)=h\nPerpendicular(Line(A,C),Line(B,C))\nPerpendicular(Line(C,D),Line(A,B))",
,TRIANGLES - EQUILATERAL TRIANGLES,"Interior Angles:\n$math{A=B=C=60\deg}\n\nPerimeter:\n$math{3a}\n\nRadii:\n$math{r=(1/6)asqrt(3)}\n\n$math{R=(1/3)asqrt(3)}\n\nArea:\n$math{(1/4)a^2*sqrt(3)=(1/2)ah}\n\nGeometry:\nSystem(2,Euclidean)\nPoint(A,B,C,D)\nTriangle(A,B,C)\nSegment(A,B)=a\nSegment(B,C)=a\nSegment(C,A)=a\nSegment(C,D)=h\nPerpendicular(Line(C,D),Line(A,B))",
,,,
,,,
,,,
,,,
,,,
,Pythagoras theorem,$math{a^2+b^2=c^2},"$math{sqrt(4^2+7^2)}, $math{sqrt(8^2-6^2)}, $math{sqrt(sqrt(19)^20sqrt(30)^2)}, $math{1.42+0.77+sqrt(1.42^2+0.77^2)}, $math{sqrt(1600^2+800^2)=200sqrt(8^2+2^2)}"
,Distance formula,$math{sqrt((x_1-x_0)^2+(y_1-y_0)^2)},"5 2 4 5, 4 -2 -3 4"
