Group,Name,Basic relationship,Presetted values
rich,rich,rich,rich
,Point,"P(L1(α))
L+P>α
α(L1~L2)",
,Line // Line,"L∥α(Ln)
(L1⊥)∥(L2⊥)
L1((α)∥β)∥L2(α/β)",
,Plane // Line,"α(L1)∥L
L(α)∥β",
,Plane ⊥ Line,"(α∥β)⊥L
α(m/n)⊥L
(l1⊥α)⊥α",
,Plane // Plane,α(L1/L2)∥β,
,Plane ⊥ Plane,β(L)⊥α,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
GEOMETRY,PLANE SOLIDS - PARALLELEPIPED,"Geometry:\nSystem(3,Euclidean)\nParallelepiped(A,B,C,D,E,F,G,H)\nSegment(base_edge)=a\nSegment(side_edge)=b\nSegment(depth_edge)=c\nAngle(dihedral)=\t\n\nGeneral:\n0\deg<\t<180\deg\n\nArea=2(ac+bc+absin(\t))\n\nVolume=abcsin(\t)\n\nRectangle:\n\t=90\deg\n\nArea=2(ab+bc+ac)\n\nVolume=abc\n\nCube:\na=b=c\n\t=90\deg\n\nArea=6a^2\n\nVolume=a^3",
GEOMETRY,PLANE SOLIDS - PRISMATOIDS,"Definition:\nPolyhedra consisting of either 2 parallel polygon bases or a polygon base and vertex; lateral faces consist of either trapezoids or triangles respectively.\n\nKey:\nB_1=lower base area\nB_2=upper base area\nM=midsection area\nh=altitude\n\nVolume:\n(1/6)h(B_1+B_2+4M)\n\nGeometry:\nSystem(3,Euclidean)\nPolyhedron\nParallel(Plane(base_1),Plane(base_2))",
GEOMETRY,PLANE SOLIDS - REGULAR POLYHEDRA,"Definition:\nPolyhedra with equal dihedral angles and faces which are congruent regular polygons.\n\nKey:\nf=number of faces\nv=number of vertices\nA=face area\na=edge length\ne=number of edges\nr=radius of inscribed sphere\nq=dihedral angle\n\nGeometry:\nSystem(3,Euclidean)\nRegularPolyhedron",
GEOMETRY,PLANE SOLIDS - REGULAR POLYHEDRA TABLE,Tetrahedron:\nFace=4 equilateral triangles\nv=4\ne=6\nf=4\nq=70\deg32'\nArea=1.7321a^2\nVolume=0.1178a^3\n\nHexahedron:\nFace=6 squares\nv=8\ne=12\nf=6\nq=90\deg\nArea=6.0000a^2\nVolume=1.0000a^3\n\nOctahedron:\nFace=8 equilateral triangles\nv=6\ne=12\nf=8\nq=109\deg28'\nArea=3.4641a^2\nVolume=0.4714a^3\n\nDodecahedron:\nFace=12 regular pentagons\nv=20\ne=30\nf=12\nq=116\deg34'\nArea=20.6457a^2\nVolume=7.6631a^3\n\nIcosahedron:\nFace=20 equilateral triangles\nv=12\ne=30\nf=20\nq=138\deg11'\nArea=8.6602a^2\nVolume=2.1817a^3,
GEOMETRY,PLANE SOLIDS - RIGHT REGULAR PYRAMID,"Key:\nB=base area\nP=base perimeter\ns=slant height\n\nArea:\nArea_L=(1/2)Ps\n\nArea_T=(1/2)Ps+B\n\nVolume:\n(1/3)Bh\n\nNote:\nAltitude h intersects center of base.\n\nGeometry:\nSystem(3,Euclidean)\nPyramid(A,B,C,D,E)\nSegment(altitude)=h\nSegment(slant_height)=s\nBaseArea=B\nBasePerimeter=P",
GEOMETRY,PLANE SOLIDS - RIGHT REGULAR PRISM,"Key:\nB=base area\nP=base perimeter\ns=slant height\n\nArea:\nArea_L=Ph\n\nArea_T=Ph+2B\n\nVolume:\nBh\n\nEuler-Descartes Formula:\nv-e+f=2\n\nArea_T=fA\n\nVolume=(1/3)\pi r^4\n\nNote:\nFor all sections:\nArea_L=lateral surface area\nArea_T=total surface area\n\nGeometry:\nSystem(3,Euclidean)\nPrism(A,B,C,D,E,F)\nSegment(altitude)=h\nBaseArea=B\nBasePerimeter=P\nAngle(side_face)=\t",
GEOMETRY,CYLINDERS - GENERAL CYLINDERS,"Note:\nFor all cylinders:\nA=base area\nP=base perimeter\n\nArea:\nArea_L=Ps=(Ph)/sin(\t)\n\nVolume:\nAh=As*sin(\t)\n\nNote:\nA represents the area of any closed curve.\n\nGeometry:\nSystem(3,Euclidean)\nCylinder\nSegment(height)=h\nSegment(side)=s\nAngle(side,base)=\t",
