Name,Basic relationship,Presetted values
rich,rich,rich
General definition,"a: opposite side, b: adjacent side, c: hypotenuse
$math{sin v = a/c, cos v = b/c, tan v = a/b, cot v = b/a}
$math{arcsin a/c = v [-\pi/2, \pi/2], arccos b/c = v [0, \pi], arctan a/b = v [-\pi/2, \pi/2], arccot b/a = v [-\pi/2, \pi/2]}",
,"$math{sin v = a/c -> a=c*sin(v), c=sin(v)/a}","$math{v=65\deg, a=x, c=100 => x}"
,"$math{cos v = b/c -> b=c*cos(v), c=cos(v)/b}","$math{v=28\deg, b=30, c=x => x}"
,"$math{tan v = a/b -> a=b*tan(v), b=tan(v)/a}","$math{v=58\deg, a=8, b=x => x}"
,"Trigonometric functions are not injective, need to restrict the function for a new one to make them injective
$math{\arcsin(a/c) = v (from f(x)=(sin(x):-\pi/2<=x<=\pi/2))}
$math{arccos b/c = v (from f(x)=(cos(x):0<=x<=\pi))}
$math{arctan a/b = v (from f(x)=(tan(x):-\pi/2<x<\pi/2))}
$math{arccot b/a = v (from f(x)=(cot(x):-\pi/2<x<\pi/2))}",
,"Radians: $math{360\deg}, Radians: $math{2\pi}, $math{1\deg=\pi/180 rad}, $math{1 rad = 180/\pi \deg} (In unit circle, radian value is the same as arc length)

rad: 0 \pi/6 \pi/4 \pi/3 \pi/2
deg: 0 30\deg 45\deg 60\deg 90\deg
sin: 0 1/2 sqrt(2)/2 sqrt(3)/2 1
cos: 1 sqrt(3)/2 sqrt(2)/2 1/2 0
tan: 0 1/sqrt(3) 1 sqrt(3) -

$math{30\deg 60 \deg half equilateral triangle}
$math{45\deg half square}",
"Reduction formula
(Based on unit circle)","sin v, cos v, tan v
-v: -sin, cos, -tan
\pm\pi/2: cos, \mp*sin, \mp*cot
\pm\pi: \mp*sin, -cos, \pm*t
\pm*3\pi/2: -cos, \pm*sin, \mp*cot
\pm*2\pi: \pm*sin, cos, \pm*t","$math{sin(3\pi/4)=sin(\pi/4)}
$math{cos(-\pi/6)=cos(\pi/6)}
$math{tan(-5\pi/3)=tan(\pi/3)}"
Laws of sines,$math{sin(A)/a=sin(B)/b},"a=10, b=8, B=30\deg
a=10, B=30\deg -> no solutions, 1 solution, 2 solutions"
,$math{a/sin(A)=b/sin(B)},"A=75\deg, B=77\deg, b=6
A=70\deg, B=60\deg, b=10"
Laws of cosines,$math{c^2=a^2+b^2-2ab*cos(C)},"a=48, b=61, C=30\deg -> c
a=40, b=58, c=70 -> C"
LAW OF TANGENTS,"$math{(b - c)/(b + c) = tan(1/2*(B - C)) / tan(1/2*(B + C))}
$math{(c - a)/(c + a) = tan(1/2*(C - A)) / tan(1/2*(C + A))}
$math{(a - b)/(a + b) = tan(1/2*(A - B)) / tan(1/2*(A + B))}",
Combined,,"a=21, c=25, C=55 (5064, 5065)"
Trigonometric functions,$math{f(x)=A*sin(k(x-x_0))+y_0 -> sine curve [graph]},
,$math{f(x)=A*cos(k(x-x_0))+y_0 -> cosine curve [graph]},
,$math{f(x)=A*tan(k(x-x_0))+y_0 -> tan curve [graph]},
,$math{f(x)=A*cot(k(x-x_0))+y_0 -> cotangent curve [graph]},
,$math{f(x)=A*sec(k(x-x_0))+y_0 -> secant curve [graph]},
,$math{f(x)=A*csc(k(x-x_0))+y_0 -> cosecant curve [graph]},
,Inverse trigonometric function graphs [graphs],
,"PERIOD
Function f is periodic if there is a positive real number k such that, for x and x + k in domain of f, f(x + k) = f(x)
Fundamental period of f is smallest number p such that, for x \in R, f(x + p) = f(x)
Sine function has period of 2*\pi; f(x) = f(x + p) if |kp| = 2*\pi
So, f: x -> A*sin(kx + d) is periodic with period 2*\pi/|k|",
,"AMPLITUDE
When a periodic function has maximum value of M and minimum value of m, amplitude is defined as (M - m)/2
For f: x -> sin(x), x \in R, it is known that -1 <= sin(x) <= 1, so M = 1 and m = -1
So, amplitude = 1
For y = A*sin(kx + d), amplitude = |a|
Amplitude is also equal to |a| for y = a*cos(kx + d)",
