Recipe name,Recipe description
Chicken Kiev,"{{wrap,(parsley, garlic, butter) + freeze 10 min} +{inside, chicken meat}} + Q"
Roast meat,"(2 celery, 2 carrots, 1 garlic, 2 onions, meat, oil, rosemary, basil, beef stock) + (butter, thyme, rose mary, chili oil)"
Hamburger,"(minced meat, garlic powder, herbs, …, breadcrumbs, tomato sauce, mustard) + Q (+cheese) (bacon, egg(round mold inside))
+ (briosche) Onion, beetroot, tomato, lettuce, mustard, tomato sauce, hamburger sauce, pickles"
Spring rolls,"(2 carrots, 4 mushroom, 1/2 cabbage, 2 garlic, bean shoot, cornflower, oyster/soy sauce) + (fill wrapper) + Q(oil)"
BBQ ribs,"(Rib, oil, pepper, paprika, garlic, onion powder, chili, cumin, BBQ-sauce) + Q"
Pizza,"(Pizza base, pasta sauce, pepperoni, olives, onion(, mushroom), capsicum, bacon, mushroom, Italian herbs, spinach, cheese) + Q"
Pulled pork,"(1 onion, 3 garlic, 1 tsp oil, 2 kg pork shoulder, 1 cup BBQ sauce, 1/2 cup chicken stock, 1/2 cup apple cider vinegar, 1/4 cup sugar)"
Salsa,"(3 tomato, 1 jalapeno, 1 onion, cilantro, 1 lime)"
Curry egg,"(1/2 lettuce), (6 eggs (+Q), 2 tsp maionnaise, 2 tsp curry) (10 min + Q)"
Enchiladas,"Tortillas + (5 tomato, 1/2 cup onion, 1 tsp garlic, 1/4 cup oil, 1 tsp tomato paste, 1 tsp pepper, cumin, paprika, oregano, cayenne, sugar, chili) + (1 cup water) + (chicken, red onion, mozarella, cheddar) -> tomato sauce + mozarella, cheddar + cilantro"
Tandoori chicken,"(Chicken (cut), 3 tsp oil, 1 tsp lemon, 1 tsp pepper, 1 tsp coriander, 1 tsp cayenne, 1 tsp cayenne, 1 tsp garam masala, 1 tsp tumeric, 1 tsp cumin, 1 tsp paprika, 1 tsp tandoori masala, garlic paste, ginger paste, 1 cup greek yogurt) + Q"
Beef jerky,"((1 tsp onion, garlic powder, chili flakes, black pepper, honey, paprika, 1 cup soy sauce, 1 cup worcestershire sauce) + beef) + dry"
Crab curry,"(1 tsp chili/coriander/tumeric/curry/cumin, 1 cup coconut, 1 cup water, 1 egg, crab meat (from crabs)) + (3 capsium, 1 onion, coriander, 2 tomatos, green chili (stem)) + (+Q, +rice)"
Eggs benedict,"briosche + ((4 bacon), 3 egg yolk, 1 tsp lemon juice) + 1 egg"
Ramen,"((Bones (1h soaked in water)), onion, 6 garlic, leek, chili, ginger, spring onion, mushroom) + ramen noodles + eggs + pork belly -> 200ml soy sauce, 200 ml worcestershi sauce, 100ml sesame oil, chili) (1h) + Q"
Lasagna,"+Q(oil, garlic, onion, pesto, spring onion, green chili, mushrooms, spinch, capsicum, tomatos, peas, chicken stripes, cheese, lasagna sheet, tomato sauce, beans, broccoli, cheese, parmesan, lasagna sheet, filling, tomato paste, eggplant, parmesan, cheese)"
Meatballs,"(3+cup breadcrumbs, 2 cup milk, 1 kg mince meat, 2 eggs, 1/3 cup parmesan, 1/3 cup parsley, 1 onion, 3 garlic, 3 tsp cumin) -> rolled into balls + Q"
Breakfast smoothie,"(1 cup strawberry, 1/2 cup blueberry, 1 cup raspberry, 1 banana, 1/2 cup honey, 1 cup greek yoghurt, 35 ml coconut milk) -> blend"
Bubble tea,"(500 ml water, 2 tsp black tea), (5 tsp sugar, 3 tsp water), (4 cup water, 1 cup taporica balls)"
Cookies,"(150g butter, 1/2 cup sugar, 1 egg, 1 3/4 cup flour, 1/2 chocolate) + Q(bake)"
Chocolate mud cake,"([5, 2 1/2 cup flour], [2, 2 cup sugar], [1, 200g butter], [6, 1/2 cup cocoa], [4, 2 eggs], [3, 1 cup chocolate/250 g chocolate] + water} + chocolate sauce, frosting"
Watermelon cake,"(1 cup sugar, 4 cups flour, 1/2 cup baking soda, 3 cups milk, 3 tbs red food coloring, 1 tbs butter, 1/2 chocolate, 2 eggs, 1 cup water)"
Vegan cake,"(4 cp coconut flour, 1/2 cup sugar, 1 cup cocoa, 1 cup coconut flakes, 1/3 cup almond, 1/2 cup syrup, 3 cup milk) + Q(bake)"
Regular cake,"(1 1/2 cup flour, 1/4 cup cocoa, 1 tsp NaHCO3, 1 cup sugar, 1 cup milk, 1/3 tsp oil, 1 tsp lemon juice) + Q(bake) -> Assembly"
Birthday cake,"(6 cup flour, 1/3 cup sugar 6+(OH), 6 eggs, 1 tsp apple cider vinegar, 1/3 cup NaHCO3, 1/3 cup butter, 5 cup milk) + Q(bake) -> Assembly"
Lava cake,"(180g chocolate, 125g butter)(3 eggs, 1/4 cup sugar, 1/4 cup flour) + Q(bake) -> Assembly"
Small chocolate cake,"(2 1/2 cup flour, 1 cup sugar, 1 cup cocoa, 1/4 cup NaHCO3, 2 1/2 cup milk, 1/4 cup oil, 2 cup chocolate) + Q(bake)"
Banana bread,"(2 cup flour, 1 cup self-rising flour, 1 tsp cinnamon, 1/3 cup sugar, 2 banana, 1 egg, 1 cup milk, 1/3 cup butter) + Q(bake)"
